Node 0, start at 329, n: 7, c:7
Node 146, start at 83, n: 5, c:5
Node 147, start at 884, n: 11, c:11
Node 148, start at 992, n: 3, c:3
Node 149, start at 943, n: 13, c:13
Node 150, start at 739, n: 3, c:3
Node 151, start at 676, n: 11, c:11
Node 152, start at 99, n: 3, c:3
Node 153, start at 686, n: 3, c:3
Node 154, start at 969, n: 5, c:5
Node 155, start at 781, n: 3, c:3
Node 156, start at 344, n: 3, c:3
Node 157, start at 791, n: 5, c:5
Node 158, start at 995, n: 13, c:13
Node 159, start at 110, n: 5, c:5
Node 160, start at 563, n: 3, c:3
Node 161, start at 782, n: 7, c:7
Node 162, start at 570, n: 7, c:7
Node 163, start at 408, n: 7, c:7
Node 164, start at 687, n: 11, c:11
Node 165, start at 953, n: 13, c:13
Node 166, start at 870, n: 5, c:5
Node 167, start at 145, n: 13, c:13
Node 168, start at 943, n: 3, c:3
Node 169, start at 678, n: 11, c:11
Node 170, start at 417, n: 5, c:5
Node 171, start at 868, n: 7, c:7
Node 172, start at 347, n: 7, c:7
Node 173, start at 251, n: 5, c:5
Node 174, start at 734, n: 7, c:7
Node 175, start at 517, n: 13, c:13
Node 176, start at 538, n: 5, c:5
Node 177, start at 900, n: 3, c:3
Node 178, start at 944, n: 5, c:5
Node 179, start at 303, n: 13, c:13
Node 180, start at 92, n: 13, c:13
Node 181, start at 881, n: 5, c:5
Node 182, start at 889, n: 5, c:5
Node 183, start at 681, n: 5, c:5
Node 184, start at 3, n: 11, c:11
Node 185, start at 224, n: 3, c:3
Node 186, start at 168, n: 5, c:5
Node 187, start at 910, n: 7, c:7
Node 188, start at 877, n: 13, c:13
Node 189, start at 405, n: 11, c:11
Node 190, start at 822, n: 3, c:3
Node 191, start at 392, n: 13, c:13
Node 192, start at 128, n: 5, c:5
Node 193, start at 953, n: 5, c:5
Node 194, start at 91, n: 3, c:3
Node 195, start at 359, n: 5, c:5
Node 196, start at 230, n: 3, c:3
Node 197, start at 918, n: 3, c:3
Node 198, start at 746, n: 5, c:5
Node 199, start at 88, n: 3, c:3
Node 200, start at 710, n: 5, c:5
Node 201, start at 253, n: 5, c:5
Node 202, start at 797, n: 5, c:5
Node 203, start at 844, n: 3, c:3
Node 204, start at 146, n: 5, c:5
Node 205, start at 957, n: 11, c:11
Node 206, start at 164, n: 5, c:5
Node 207, start at 289, n: 3, c:3
Node 208, start at 417, n: 3, c:3
Node 209, start at 720, n: 5, c:5
Node 210, start at 193, n: 5, c:5
Node 211, start at 536, n: 5, c:5
Node 212, start at 278, n: 3, c:3
Node 213, start at 977, n: 11, c:11
Node 214, start at 564, n: 7, c:7
Node 215, start at 980, n: 13, c:13
Node 216, start at 183, n: 3, c:3
Node 217, start at 712, n: 5, c:5
Node 218, start at 649, n: 3, c:3
Node 219, start at 295, n: 5, c:5
Node 220, start at 700, n: 13, c:13
Node 221, start at 441, n: 3, c:3
Node 222, start at 279, n: 13, c:13
Node 223, start at 662, n: 5, c:5
Node 224, start at 739, n: 3, c:3
Node 225, start at 702, n: 5, c:5
Node 226, start at 778, n: 3, c:3
Node 227, start at 867, n: 7, c:7
Node 228, start at 224, n: 3, c:3
Node 229, start at 265, n: 5, c:5
Node 230, start at 166, n: 5, c:5
Node 231, start at 136, n: 5, c:5
Node 232, start at 772, n: 3, c:3
Node 233, start at 488, n: 13, c:13
Node 234, start at 496, n: 5, c:5
Node 235, start at 210, n: 5, c:5
Node 236, start at 193, n: 3, c:3
Node 237, start at 747, n: 5, c:5
Node 238, start at 580, n: 5, c:5
Node 239, start at 165, n: 7, c:7
Node 240, start at 427, n: 7, c:7
Node 241, start at 428, n: 5, c:5
Node 242, start at 662, n: 11, c:11
Node 243, start at 329, n: 3, c:3
Node 244, start at 214, n: 5, c:5
Node 245, start at 148, n: 7, c:7
Node 246, start at 0, n: 3, c:3
Node 247, start at 933, n: 5, c:5
Node 248, start at 783, n: 13, c:13
Node 249, start at 196, n: 5, c:5
Node 250, start at 182, n: 3, c:3
Node 251, start at 775, n: 3, c:3
Node 252, start at 412, n: 3, c:3
Node 253, start at 829, n: 7, c:7
Node 254, start at 960, n: 3, c:3
Node 255, start at 597, n: 3, c:3
Node 256, start at 440, n: 5, c:5
Node 257, start at 500, n: 7, c:7
Node 258, start at 283, n: 3, c:3
Node 259, start at 228, n: 7, c:7
Node 260, start at 692, n: 3, c:3
Node 261, start at 648, n: 13, c:13
Node 262, start at 50, n: 13, c:13
Node 263, start at 581, n: 7, c:7
Node 264, start at 416, n: 5, c:5
Node 265, start at 858, n: 11, c:11
Node 266, start at 272, n: 5, c:5
Node 267, start at 469, n: 3, c:3
Node 268, start at 68, n: 3, c:3
Node 269, start at 661, n: 3, c:3
Node 270, start at 134, n: 5, c:5
Node 271, start at 23, n: 3, c:3
Node 272, start at 208, n: 5, c:5
Node 273, start at 682, n: 3, c:3
Node 274, start at 267, n: 3, c:3
Node 275, start at 168, n: 3, c:3
Node 276, start at 388, n: 7, c:7
Node 277, start at 58, n: 5, c:5
Node 278, start at 859, n: 13, c:13
Node 279, start at 92, n: 3, c:3
Node 280, start at 106, n: 5, c:5
Node 281, start at 534, n: 13, c:13
Node 282, start at 880, n: 7, c:7
Node 283, start at 553, n: 13, c:13
Node 284, start at 841, n: 13, c:13
Node 285, start at 964, n: 7, c:7
Node 286, start at 460, n: 5, c:5
Node 287, start at 22, n: 7, c:7
Node 288, start at 606, n: 3, c:3
Node 289, start at 696, n: 13, c:13
Node 290, start at 686, n: 5, c:5
Node 291, start at 431, n: 11, c:11
Node 292, start at 977, n: 3, c:3
Node 293, start at 132, n: 5, c:5
Node 294, start at 328, n: 3, c:3
Node 295, start at 703, n: 3, c:3
Node 296, start at 121, n: 5, c:5
Node 297, start at 955, n: 11, c:11
Node 298, start at 698, n: 11, c:11
Node 299, start at 756, n: 5, c:5
Node 300, start at 441, n: 3, c:3
Node 301, start at 589, n: 5, c:5
Node 302, start at 418, n: 11, c:11
Node 303, start at 522, n: 3, c:3
Node 304, start at 41, n: 7, c:7
Node 305, start at 99, n: 5, c:5
Node 306, start at 8, n: 13, c:13
Node 307, start at 476, n: 3, c:3
Node 308, start at 344, n: 5, c:5
Node 309, start at 739, n: 3, c:3
Node 310, start at 179, n: 11, c:11
Node 311, start at 693, n: 7, c:7
Node 312, start at 36, n: 13, c:13
Node 313, start at 105, n: 5, c:5
Node 314, start at 163, n: 3, c:3
Node 315, start at 706, n: 13, c:13
Node 316, start at 990, n: 13, c:13
Node 317, start at 914, n: 3, c:3
Node 318, start at 399, n: 5, c:5
Node 319, start at 939, n: 3, c:3
Node 320, start at 81, n: 7, c:7
Node 321, start at 515, n: 5, c:5
Node 322, start at 115, n: 7, c:7
Node 323, start at 691, n: 5, c:5
Node 324, start at 748, n: 13, c:13
Node 325, start at 137, n: 5, c:5
Node 326, start at 141, n: 7, c:7
Node 327, start at 517, n: 5, c:5
Node 328, start at 843, n: 3, c:3
Node 329, start at 113, n: 3, c:3
Node 330, start at 782, n: 5, c:5
Node 331, start at 672, n: 13, c:13
Node 332, start at 917, n: 5, c:5
Node 333, start at 229, n: 13, c:13
Node 334, start at 215, n: 3, c:3
Node 335, start at 742, n: 5, c:5
Node 336, start at 574, n: 5, c:5
Node 337, start at 410, n: 3, c:3
Node 338, start at 395, n: 7, c:7
Node 339, start at 98, n: 13, c:13
Node 340, start at 444, n: 5, c:5
Node 341, start at 926, n: 5, c:5
Node 342, start at 944, n: 7, c:7
Node 343, start at 520, n: 5, c:5
Node 344, start at 530, n: 11, c:11
Node 345, start at 946, n: 3, c:3
Node 346, start at 564, n: 5, c:5
Node 347, start at 60, n: 3, c:3
Node 348, start at 985, n: 5, c:5
Node 349, start at 159, n: 5, c:5
Node 350, start at 853, n: 3, c:3
Node 351, start at 338, n: 3, c:3
Node 352, start at 409, n: 5, c:5
Node 353, start at 847, n: 13, c:13
Node 354, start at 563, n: 7, c:7
Node 355, start at 520, n: 5, c:5
Node 356, start at 941, n: 3, c:3
Node 357, start at 662, n: 5, c:5
Node 358, start at 526, n: 5, c:5
Node 359, start at 881, n: 3, c:3
Node 360, start at 814, n: 5, c:5
Node 361, start at 997, n: 3, c:3
Node 362, start at 965, n: 5, c:5
Node 363, start at 28, n: 5, c:5
Node 364, start at 441, n: 13, c:13
Node 365, start at 934, n: 5, c:5
Node 366, start at 93, n: 3, c:3
Node 367, start at 380, n: 7, c:7
Node 368, start at 423, n: 3, c:3
Node 369, start at 768, n: 5, c:5
Node 370, start at 276, n: 3, c:3
Node 371, start at 297, n: 7, c:7
Node 372, start at 55, n: 11, c:11
Node 373, start at 754, n: 13, c:13
Node 374, start at 793, n: 5, c:5
Node 375, start at 966, n: 3, c:3
Node 376, start at 129, n: 5, c:5
Node 377, start at 737, n: 3, c:3
Node 378, start at 774, n: 5, c:5
Node 379, start at 882, n: 13, c:13
Node 380, start at 74, n: 5, c:5
Node 381, start at 246, n: 5, c:5
Node 382, start at 666, n: 11, c:11
Node 383, start at 406, n: 7, c:7
Node 384, start at 392, n: 5, c:5
Node 385, start at 752, n: 11, c:11
Node 386, start at 430, n: 3, c:3
Node 387, start at 502, n: 3, c:3
Node 388, start at 193, n: 3, c:3
Node 389, start at 380, n: 7, c:7
Node 390, start at 472, n: 13, c:13
Node 391, start at 479, n: 5, c:5
Node 392, start at 355, n: 3, c:3
Node 393, start at 740, n: 7, c:7
Node 394, start at 742, n: 7, c:7
Node 395, start at 464, n: 11, c:11
Node 396, start at 46, n: 11, c:11
Node 397, start at 581, n: 5, c:5
Node 398, start at 92, n: 3, c:3
Node 399, start at 367, n: 5, c:5
Node 400, start at 330, n: 7, c:7
Node 401, start at 104, n: 5, c:5
Node 402, start at 591, n: 3, c:3
Node 403, start at 594, n: 13, c:13
Node 404, start at 721, n: 3, c:3
Node 405, start at 901, n: 3, c:3
Node 406, start at 518, n: 11, c:11
Node 407, start at 76, n: 11, c:11
Node 408, start at 40, n: 3, c:3
Node 409, start at 179, n: 13, c:13
Node 410, start at 961, n: 13, c:13
Node 411, start at 196, n: 5, c:5
Node 412, start at 244, n: 5, c:5
Node 413, start at 939, n: 13, c:13
Node 414, start at 995, n: 5, c:5
Node 415, start at 681, n: 11, c:11
Node 416, start at 978, n: 5, c:5
Node 417, start at 263, n: 13, c:13
Node 418, start at 74, n: 11, c:11
Node 419, start at 188, n: 5, c:5
Node 420, start at 681, n: 13, c:13
Node 421, start at 426, n: 5, c:5
Node 422, start at 386, n: 11, c:11
Node 423, start at 579, n: 3, c:3
Node 424, start at 514, n: 3, c:3
Node 425, start at 268, n: 7, c:7
Node 426, start at 910, n: 5, c:5
Node 427, start at 199, n: 11, c:11
Node 428, start at 965, n: 5, c:5
Node 429, start at 720, n: 11, c:11
Node 430, start at 515, n: 3, c:3
Node 431, start at 170, n: 7, c:7
Node 432, start at 683, n: 5, c:5
Node 433, start at 141, n: 11, c:11
Node 434, start at 0, n: 3, c:3
Node 435, start at 776, n: 7, c:7
Node 436, start at 614, n: 5, c:5
Node 437, start at 365, n: 3, c:3
Node 438, start at 452, n: 3, c:3
Node 439, start at 711, n: 5, c:5
Node 440, start at 127, n: 3, c:3
Node 441, start at 609, n: 5, c:5
Node 442, start at 994, n: 5, c:5
Node 443, start at 285, n: 3, c:3
Node 444, start at 987, n: 3, c:3
Node 445, start at 410, n: 3, c:3
Node 446, start at 802, n: 5, c:5
Node 447, start at 972, n: 5, c:5
Node 448, start at 317, n: 13, c:13
Node 449, start at 718, n: 5, c:5
Node 450, start at 985, n: 11, c:11
Node 451, start at 61, n: 3, c:3
Node 452, start at 767, n: 5, c:5
Node 453, start at 591, n: 3, c:3
Node 454, start at 977, n: 3, c:3
Node 455, start at 143, n: 3, c:3
Node 456, start at 273, n: 5, c:5
Node 457, start at 621, n: 3, c:3
Node 458, start at 406, n: 5, c:5
Node 459, start at 309, n: 11, c:11
Node 460, start at 964, n: 3, c:3
Node 461, start at 373, n: 11, c:11
Node 462, start at 644, n: 13, c:13
Node 463, start at 566, n: 3, c:3
Node 464, start at 969, n: 7, c:7
Node 465, start at 5, n: 7, c:7
Node 466, start at 233, n: 7, c:7
Node 467, start at 321, n: 7, c:7
Node 468, start at 755, n: 3, c:3
Node 469, start at 302, n: 3, c:3
Node 470, start at 230, n: 3, c:3
Node 471, start at 330, n: 3, c:3
Node 472, start at 64, n: 3, c:3
Node 473, start at 515, n: 3, c:3
Node 474, start at 361, n: 3, c:3
Node 475, start at 511, n: 3, c:3
Node 476, start at 920, n: 5, c:5
Node 477, start at 802, n: 11, c:11
Node 478, start at 476, n: 7, c:7
Node 479, start at 712, n: 13, c:13
Node 480, start at 445, n: 3, c:3
Node 481, start at 596, n: 13, c:13
Node 482, start at 135, n: 5, c:5
Node 483, start at 425, n: 7, c:7
Node 484, start at 240, n: 3, c:3
Node 485, start at 624, n: 3, c:3
Node 486, start at 536, n: 5, c:5
Node 487, start at 573, n: 3, c:3
Node 488, start at 905, n: 11, c:11
Node 489, start at 26, n: 7, c:7
Node 490, start at 201, n: 3, c:3
Node 491, start at 530, n: 11, c:11
Node 492, start at 783, n: 3, c:3
Node 493, start at 171, n: 3, c:3
Node 494, start at 379, n: 3, c:3
Node 495, start at 11, n: 5, c:5
Node 496, start at 751, n: 5, c:5
Node 497, start at 771, n: 11, c:11
Node 498, start at 797, n: 5, c:5
Node 499, start at 607, n: 5, c:5
Node 500, start at 625, n: 3, c:3
Node 501, start at 457, n: 3, c:3
Node 502, start at 301, n: 3, c:3
Node 503, start at 721, n: 3, c:3
Node 504, start at 844, n: 5, c:5
Node 505, start at 656, n: 5, c:5
Node 506, start at 836, n: 3, c:3
Node 507, start at 271, n: 5, c:5
Node 508, start at 445, n: 5, c:5
Node 509, start at 827, n: 5, c:5
Node 510, start at 938, n: 5, c:5
Node 511, start at 421, n: 3, c:3
Node 512, start at 73, n: 3, c:3
Node 513, start at 157, n: 11, c:11
Node 514, start at 856, n: 3, c:3
Node 515, start at 807, n: 5, c:5
Node 516, start at 484, n: 3, c:3
Node 517, start at 813, n: 5, c:5
Node 518, start at 863, n: 3, c:3
Node 519, start at 309, n: 13, c:13
Node 520, start at 437, n: 3, c:3
Node 521, start at 408, n: 5, c:5
Node 522, start at 846, n: 5, c:5
Node 523, start at 260, n: 11, c:11
Node 524, start at 339, n: 13, c:13
Node 525, start at 13, n: 5, c:5
Node 526, start at 132, n: 3, c:3
Node 527, start at 298, n: 7, c:7
Node 528, start at 272, n: 3, c:3
Node 529, start at 440, n: 11, c:11
Node 530, start at 911, n: 13, c:13
Node 531, start at 578, n: 11, c:11
Node 532, start at 964, n: 7, c:7
Node 533, start at 912, n: 3, c:3
Node 534, start at 419, n: 13, c:13
Node 535, start at 859, n: 3, c:3
Node 536, start at 764, n: 3, c:3
Node 537, start at 979, n: 5, c:5
Node 538, start at 229, n: 5, c:5
Node 539, start at 714, n: 5, c:5
Node 540, start at 703, n: 7, c:7
Node 541, start at 281, n: 5, c:5
Node 542, start at 657, n: 5, c:5
Node 543, start at 280, n: 3, c:3
Node 544, start at 550, n: 5, c:5
Node 545, start at 969, n: 5, c:5
Node 546, start at 680, n: 7, c:7
Node 547, start at 901, n: 3, c:3
Node 548, start at 731, n: 3, c:3
Node 549, start at 678, n: 11, c:11
Node 550, start at 538, n: 13, c:13
Node 551, start at 828, n: 11, c:11
Node 552, start at 398, n: 5, c:5
Node 553, start at 435, n: 11, c:11
Node 554, start at 321, n: 7, c:7
Node 555, start at 508, n: 5, c:5
Node 556, start at 60, n: 5, c:5
Node 557, start at 819, n: 5, c:5
Node 558, start at 232, n: 3, c:3
Node 559, start at 244, n: 3, c:3
Node 560, start at 738, n: 11, c:11
Node 561, start at 258, n: 13, c:13
Node 562, start at 354, n: 5, c:5
Node 563, start at 134, n: 7, c:7
Node 564, start at 952, n: 5, c:5
Node 565, start at 146, n: 11, c:11
Node 566, start at 756, n: 5, c:5
Node 567, start at 551, n: 5, c:5
Node 568, start at 429, n: 5, c:5
Node 569, start at 747, n: 5, c:5
Node 570, start at 306, n: 7, c:7
Node 571, start at 597, n: 11, c:11
Node 572, start at 627, n: 13, c:13
Node 573, start at 333, n: 5, c:5
Node 574, start at 268, n: 7, c:7
Node 575, start at 985, n: 5, c:5
Node 576, start at 595, n: 7, c:7
Node 577, start at 768, n: 3, c:3
Node 578, start at 959, n: 7, c:7
Node 579, start at 680, n: 3, c:3
Node 580, start at 96, n: 5, c:5
Node 581, start at 77, n: 11, c:11
Node 582, start at 339, n: 5, c:5
Node 583, start at 240, n: 7, c:7
Node 584, start at 670, n: 13, c:13
Node 585, start at 728, n: 11, c:11
Node 586, start at 545, n: 5, c:5
Node 587, start at 243, n: 13, c:13
Node 588, start at 668, n: 13, c:13
Node 589, start at 49, n: 13, c:13
Node 590, start at 486, n: 13, c:13
Node 591, start at 426, n: 5, c:5
Node 592, start at 808, n: 3, c:3
Node 593, start at 878, n: 3, c:3
Node 594, start at 519, n: 5, c:5
Node 595, start at 18, n: 5, c:5
Node 596, start at 307, n: 5, c:5
Node 597, start at 59, n: 7, c:7
Node 598, start at 367, n: 5, c:5
Node 599, start at 734, n: 3, c:3
Node 600, start at 780, n: 5, c:5
Node 601, start at 296, n: 3, c:3
Node 602, start at 283, n: 13, c:13
Node 603, start at 43, n: 5, c:5
Node 604, start at 70, n: 3, c:3
Node 605, start at 151, n: 5, c:5
Node 606, start at 354, n: 7, c:7
Node 607, start at 989, n: 5, c:5
Node 608, start at 453, n: 5, c:5
Node 609, start at 217, n: 5, c:5
Node 610, start at 679, n: 5, c:5
Node 611, start at 341, n: 3, c:3
Node 612, start at 729, n: 5, c:5
Node 613, start at 367, n: 13, c:13
Node 614, start at 374, n: 5, c:5
Node 615, start at 50, n: 7, c:7
Node 616, start at 47, n: 13, c:13
Node 617, start at 506, n: 3, c:3
Node 618, start at 169, n: 5, c:5
Node 619, start at 567, n: 3, c:3
Node 620, start at 966, n: 5, c:5
Node 621, start at 271, n: 13, c:13
Node 622, start at 732, n: 13, c:13
Node 623, start at 513, n: 7, c:7
Node 624, start at 520, n: 5, c:5
Node 625, start at 876, n: 5, c:5
Node 626, start at 58, n: 7, c:7
Node 627, start at 686, n: 5, c:5
Node 628, start at 912, n: 5, c:5
Node 629, start at 499, n: 11, c:11
Node 630, start at 731, n: 3, c:3
Node 631, start at 492, n: 13, c:13
Node 632, start at 664, n: 11, c:11
Node 633, start at 501, n: 3, c:3
Node 634, start at 577, n: 13, c:13
Node 635, start at 588, n: 5, c:5
Node 636, start at 723, n: 3, c:3
Node 637, start at 76, n: 11, c:11
Node 638, start at 176, n: 13, c:13
Node 639, start at 279, n: 3, c:3
Node 640, start at 763, n: 3, c:3
Node 641, start at 799, n: 5, c:5
Node 642, start at 177, n: 3, c:3
Node 643, start at 324, n: 3, c:3
Node 644, start at 902, n: 5, c:5
Node 645, start at 907, n: 5, c:5
Node 646, start at 702, n: 5, c:5
Node 647, start at 897, n: 3, c:3
Node 648, start at 290, n: 5, c:5
Node 649, start at 65, n: 11, c:11
Node 650, start at 894, n: 5, c:5
Node 651, start at 104, n: 13, c:13
Node 652, start at 358, n: 5, c:5
Node 653, start at 81, n: 5, c:5
Node 654, start at 740, n: 3, c:3
Node 655, start at 50, n: 5, c:5
Node 656, start at 617, n: 3, c:3
Node 657, start at 725, n: 3, c:3
Node 658, start at 824, n: 3, c:3
Node 659, start at 343, n: 3, c:3
Node 660, start at 152, n: 5, c:5
Node 661, start at 514, n: 3, c:3
Node 662, start at 624, n: 5, c:5
Node 663, start at 299, n: 11, c:11
Node 664, start at 475, n: 7, c:7
Node 665, start at 544, n: 7, c:7
Node 666, start at 903, n: 3, c:3
Node 667, start at 653, n: 3, c:3
Node 668, start at 48, n: 7, c:7
Node 669, start at 58, n: 5, c:5
Node 670, start at 45, n: 3, c:3
Node 671, start at 964, n: 5, c:5
Node 672, start at 331, n: 5, c:5
Node 673, start at 519, n: 5, c:5
Node 674, start at 699, n: 5, c:5
Node 675, start at 671, n: 3, c:3
Node 676, start at 289, n: 5, c:5
Node 677, start at 770, n: 7, c:7
Node 678, start at 876, n: 5, c:5
Node 679, start at 204, n: 5, c:5
Node 680, start at 488, n: 5, c:5
Node 681, start at 962, n: 5, c:5
Node 682, start at 714, n: 5, c:5
Node 683, start at 471, n: 3, c:3
Node 684, start at 885, n: 5, c:5
Node 685, start at 245, n: 3, c:3
Node 686, start at 972, n: 13, c:13
Node 687, start at 638, n: 11, c:11
Node 688, start at 361, n: 3, c:3
Node 689, start at 916, n: 5, c:5
Node 690, start at 797, n: 3, c:3
Node 691, start at 374, n: 7, c:7
Node 692, start at 955, n: 5, c:5
Node 693, start at 722, n: 5, c:5
Node 694, start at 908, n: 5, c:5
Node 695, start at 654, n: 3, c:3
Node 696, start at 842, n: 5, c:5
Node 697, start at 884, n: 7, c:7
Node 698, start at 213, n: 3, c:3
Node 699, start at 38, n: 3, c:3
Node 700, start at 561, n: 5, c:5
Node 701, start at 967, n: 5, c:5
Node 702, start at 931, n: 5, c:5
Node 703, start at 566, n: 3, c:3
Node 704, start at 723, n: 5, c:5
Node 705, start at 464, n: 3, c:3
Node 706, start at 850, n: 13, c:13
Node 707, start at 660, n: 3, c:3
Node 708, start at 697, n: 5, c:5
Node 709, start at 798, n: 5, c:5
Node 710, start at 776, n: 7, c:7
Node 711, start at 187, n: 7, c:7
Node 712, start at 366, n: 3, c:3
Node 713, start at 361, n: 3, c:3
Node 714, start at 555, n: 3, c:3
Node 715, start at 91, n: 7, c:7
Node 716, start at 647, n: 5, c:5
Node 717, start at 869, n: 3, c:3
Node 718, start at 776, n: 13, c:13
Node 719, start at 227, n: 5, c:5
Node 720, start at 164, n: 5, c:5
Node 721, start at 89, n: 5, c:5
Node 722, start at 603, n: 5, c:5
Node 723, start at 98, n: 11, c:11
Node 724, start at 682, n: 3, c:3
Node 725, start at 62, n: 5, c:5
Node 726, start at 990, n: 3, c:3
Node 727, start at 431, n: 7, c:7
Node 728, start at 271, n: 3, c:3
Node 729, start at 66, n: 5, c:5
Node 730, start at 665, n: 13, c:13
Node 731, start at 606, n: 13, c:13
Node 732, start at 539, n: 11, c:11
Node 733, start at 202, n: 5, c:5
Node 734, start at 111, n: 3, c:3
