Node 0, start at 296, k: 3
Node 2, start at 395, k: 19
Node 3, start at 1, k: 3
Node 4, start at 160, k: 3
Node 5, start at 945, k: 3
Node 6, start at 223, k: 7
Node 7, start at 608, k: 11
Node 8, start at 918, k: 11
Node 9, start at 194, k: 7
Node 10, start at 116, k: 7
Node 11, start at 969, k: 11
Node 12, start at 95, k: 19
Node 13, start at 92, k: 5
Node 14, start at 209, k: 3
Node 15, start at 148, k: 5
Node 16, start at 206, k: 19
Node 17, start at 453, k: 7
Node 18, start at 997, k: 19
Node 19, start at 486, k: 7
Node 20, start at 720, k: 7
Node 0, start at 222, k: 5
Node 1, start at 951, k: 5
Node 2, start at 395, k: 5
Node 3, start at 1, k: 5
Node 4, start at 160, k: 5
Node 5, start at 945, k: 5
Node 6, start at 223, k: 5
Node 7, start at 608, k: 5
Node 8, start at 918, k: 5
Node 9, start at 194, k: 5
Node 10, start at 116, k: 5
Node 11, start at 969, k: 5
Node 12, start at 95, k: 5
Node 13, start at 92, k: 5
Node 14, start at 209, k: 5
Node 15, start at 148, k: 5
Node 16, start at 206, k: 5
Node 17, start at 453, k: 5
Node 18, start at 997, k: 5
Node 19, start at 486, k: 5
Node 20, start at 720, k: 5
Node 0, start at 567, k: 5
Node 1, start at 392, k: 3
Node 2, start at 128, k: 5
Node 3, start at 292, k: 7
Node 4, start at 545, k: 7
Node 5, start at 301, k: 11
Node 6, start at 545, k: 3
Node 7, start at 856, k: 19
Node 8, start at 839, k: 3
Node 9, start at 801, k: 11
Node 10, start at 635, k: 3
Node 11, start at 480, k: 7
Node 12, start at 265, k: 7
Node 13, start at 994, k: 19
Node 14, start at 719, k: 5
Node 15, start at 175, k: 11
Node 16, start at 319, k: 5
Node 17, start at 114, k: 7
Node 18, start at 805, k: 19
Node 19, start at 399, k: 5
Node 20, start at 31, k: 5
Node 0, start at 567, k: 5
Node 1, start at 392, k: 5
Node 2, start at 128, k: 5
Node 3, start at 292, k: 5
Node 4, start at 545, k: 5
Node 5, start at 301, k: 5
Node 6, start at 545, k: 5
Node 7, start at 856, k: 5
Node 8, start at 839, k: 5
Node 9, start at 801, k: 5
Node 10, start at 635, k: 5
Node 11, start at 480, k: 5
Node 12, start at 265, k: 5
Node 13, start at 994, k: 5
Node 14, start at 719, k: 5
Node 15, start at 175, k: 5
Node 16, start at 319, k: 5
Node 17, start at 114, k: 5
Node 18, start at 805, k: 5
Node 19, start at 399, k: 5
Node 20, start at 31, k: 5
Node 0, start at 792, k: 5
Node 1, start at 790, k: 7
Node 2, start at 627, k: 19
Node 3, start at 545, k: 11
Node 4, start at 350, k: 3
Node 5, start at 748, k: 3
Node 6, start at 309, k: 19
Node 7, start at 117, k: 3
Node 8, start at 595, k: 3
Node 9, start at 500, k: 3
Node 10, start at 625, k: 7
Node 11, start at 321, k: 5
Node 12, start at 865, k: 7
Node 13, start at 685, k: 7
Node 14, start at 395, k: 19
Node 15, start at 629, k: 19
Node 16, start at 95, k: 3
Node 17, start at 26, k: 19
Node 18, start at 4, k: 5
Node 19, start at 841, k: 5
Node 20, start at 158, k: 11
Node 0, start at 792, k: 5
Node 1, start at 790, k: 5
Node 2, start at 627, k: 5
Node 3, start at 545, k: 5
Node 4, start at 350, k: 5
Node 5, start at 748, k: 5
Node 6, start at 309, k: 5
Node 7, start at 117, k: 5
Node 8, start at 595, k: 5
Node 9, start at 500, k: 5
Node 10, start at 625, k: 5
Node 11, start at 321, k: 5
Node 12, start at 865, k: 5
Node 13, start at 685, k: 5
Node 14, start at 395, k: 5
Node 15, start at 629, k: 5
Node 16, start at 95, k: 5
Node 17, start at 26, k: 5
Node 18, start at 4, k: 5
Node 19, start at 841, k: 5
Node 20, start at 158, k: 5
Node 0, start at 867, k: 5
Node 1, start at 834, k: 11
Node 2, start at 548, k: 3
Node 3, start at 874, k: 3
Node 4, start at 530, k: 5
Node 5, start at 495, k: 5
Node 6, start at 73, k: 3
Node 7, start at 136, k: 3
Node 8, start at 336, k: 3
Node 9, start at 468, k: 3
Node 10, start at 622, k: 3
Node 11, start at 200, k: 7
Node 12, start at 486, k: 5
Node 13, start at 3, k: 3
Node 14, start at 287, k: 3
Node 15, start at 623, k: 5
Node 16, start at 20, k: 7
Node 17, start at 576, k: 5
Node 18, start at 807, k: 3
Node 19, start at 232, k: 11
Node 20, start at 692, k: 7
Node 0, start at 867, k: 5
Node 1, start at 834, k: 5
Node 2, start at 548, k: 5
Node 3, start at 874, k: 5
Node 4, start at 530, k: 5
Node 5, start at 495, k: 5
Node 6, start at 73, k: 5
Node 7, start at 136, k: 5
Node 8, start at 336, k: 5
Node 9, start at 468, k: 5
Node 10, start at 622, k: 5
Node 11, start at 200, k: 5
Node 12, start at 486, k: 5
Node 13, start at 3, k: 5
Node 14, start at 287, k: 5
Node 15, start at 623, k: 5
Node 16, start at 20, k: 5
Node 17, start at 576, k: 5
Node 18, start at 807, k: 5
Node 19, start at 232, k: 5
Node 20, start at 692, k: 5
Node 0, start at 184, k: 7
Node 1, start at 142, k: 11
Node 2, start at 665, k: 19
Node 3, start at 264, k: 5
Node 4, start at 384, k: 3
Node 5, start at 397, k: 11
Node 6, start at 716, k: 3
Node 7, start at 506, k: 3
Node 8, start at 702, k: 3
Node 9, start at 681, k: 3
Node 10, start at 920, k: 11
Node 11, start at 338, k: 7
Node 12, start at 569, k: 3
Node 13, start at 323, k: 7
Node 14, start at 376, k: 19
Node 15, start at 638, k: 5
Node 16, start at 656, k: 3
Node 17, start at 67, k: 3
Node 18, start at 896, k: 3
Node 19, start at 76, k: 3
Node 20, start at 411, k: 7
Node 0, start at 184, k: 5
Node 1, start at 142, k: 5
Node 2, start at 665, k: 5
Node 3, start at 264, k: 5
Node 4, start at 384, k: 5
Node 5, start at 397, k: 5
Node 6, start at 716, k: 5
Node 7, start at 506, k: 5
Node 8, start at 702, k: 5
Node 9, start at 681, k: 5
Node 10, start at 920, k: 5
Node 11, start at 338, k: 5
Node 12, start at 569, k: 5
Node 13, start at 323, k: 5
Node 14, start at 376, k: 5
Node 15, start at 638, k: 5
Node 16, start at 656, k: 5
Node 17, start at 67, k: 5
Node 18, start at 896, k: 5
Node 19, start at 76, k: 5
Node 20, start at 411, k: 5
Node 0, start at 854, k: 5
Node 1, start at 778, k: 11
Node 2, start at 460, k: 5
Node 3, start at 669, k: 11
Node 4, start at 600, k: 11
Node 5, start at 805, k: 3
Node 6, start at 834, k: 5
Node 7, start at 127, k: 3
Node 8, start at 382, k: 3
Node 9, start at 187, k: 19
Node 10, start at 856, k: 3
Node 11, start at 329, k: 5
Node 12, start at 61, k: 3
Node 13, start at 754, k: 7
Node 14, start at 550, k: 7
Node 15, start at 57, k: 19
Node 16, start at 878, k: 5
Node 17, start at 166, k: 3
Node 18, start at 624, k: 19
Node 19, start at 671, k: 5
Node 20, start at 789, k: 5
Node 0, start at 854, k: 5
Node 1, start at 778, k: 5
Node 2, start at 460, k: 5
Node 3, start at 669, k: 5
Node 4, start at 600, k: 5
Node 5, start at 805, k: 5
Node 6, start at 834, k: 5
Node 7, start at 127, k: 5
Node 8, start at 382, k: 5
Node 9, start at 187, k: 5
Node 10, start at 856, k: 5
Node 11, start at 329, k: 5
Node 12, start at 61, k: 5
Node 13, start at 754, k: 5
Node 14, start at 550, k: 5
Node 15, start at 57, k: 5
Node 16, start at 878, k: 5
Node 17, start at 166, k: 5
Node 18, start at 624, k: 5
Node 19, start at 671, k: 5
Node 20, start at 789, k: 5
Node 0, start at 763, k: 3
Node 1, start at 783, k: 3
Node 2, start at 101, k: 3
Node 3, start at 835, k: 5
Node 4, start at 780, k: 7
Node 5, start at 80, k: 19
Node 6, start at 948, k: 5
Node 7, start at 381, k: 7
Node 8, start at 619, k: 5
Node 9, start at 460, k: 3
Node 10, start at 494, k: 3
Node 11, start at 678, k: 3
Node 12, start at 363, k: 7
Node 13, start at 773, k: 7
Node 14, start at 883, k: 11
Node 15, start at 158, k: 3
Node 16, start at 315, k: 3
Node 17, start at 271, k: 3
Node 18, start at 679, k: 3
Node 19, start at 48, k: 7
Node 20, start at 433, k: 5
Node 0, start at 763, k: 5
Node 1, start at 783, k: 5
Node 2, start at 101, k: 5
Node 3, start at 835, k: 5
Node 4, start at 780, k: 5
Node 5, start at 80, k: 5
Node 6, start at 948, k: 5
Node 7, start at 381, k: 5
Node 8, start at 619, k: 5
Node 9, start at 460, k: 5
Node 10, start at 494, k: 5
Node 11, start at 678, k: 5
Node 12, start at 363, k: 5
Node 13, start at 773, k: 5
Node 14, start at 883, k: 5
Node 15, start at 158, k: 5
Node 16, start at 315, k: 5
Node 17, start at 271, k: 5
Node 18, start at 679, k: 5
Node 19, start at 48, k: 5
Node 20, start at 433, k: 5
Node 0, start at 66, k: 3
Node 1, start at 99, k: 3
Node 2, start at 782, k: 11
Node 3, start at 687, k: 5
Node 4, start at 379, k: 7
Node 5, start at 609, k: 5
Node 6, start at 136, k: 7
Node 7, start at 14, k: 5
Node 8, start at 709, k: 5
Node 9, start at 70, k: 5
Node 10, start at 459, k: 3
Node 11, start at 557, k: 5
Node 12, start at 880, k: 5
Node 13, start at 755, k: 7
Node 14, start at 129, k: 5
Node 15, start at 330, k: 3
Node 16, start at 636, k: 7
Node 17, start at 609, k: 11
Node 18, start at 120, k: 3
Node 19, start at 397, k: 3
Node 20, start at 701, k: 19
Node 0, start at 66, k: 5
Node 1, start at 99, k: 5
Node 2, start at 782, k: 5
Node 3, start at 687, k: 5
Node 4, start at 379, k: 5
Node 5, start at 609, k: 5
Node 6, start at 136, k: 5
Node 7, start at 14, k: 5
Node 8, start at 709, k: 5
Node 9, start at 70, k: 5
Node 10, start at 459, k: 5
Node 11, start at 557, k: 5
Node 12, start at 880, k: 5
Node 13, start at 755, k: 5
Node 14, start at 129, k: 5
Node 15, start at 330, k: 5
Node 16, start at 636, k: 5
Node 17, start at 609, k: 5
Node 18, start at 120, k: 5
Node 19, start at 397, k: 5
Node 20, start at 701, k: 5
Node 0, start at 269, k: 7
Node 1, start at 467, k: 11
Node 2, start at 875, k: 3
Node 3, start at 136, k: 7
Node 4, start at 271, k: 19
Node 5, start at 69, k: 19
Node 6, start at 524, k: 7
Node 7, start at 600, k: 19
Node 8, start at 565, k: 19
Node 9, start at 461, k: 5
Node 10, start at 767, k: 3
Node 11, start at 428, k: 5
Node 12, start at 844, k: 19
Node 13, start at 288, k: 3
Node 14, start at 262, k: 5
Node 15, start at 150, k: 7
Node 16, start at 266, k: 3
Node 17, start at 194, k: 3
Node 18, start at 122, k: 19
Node 19, start at 560, k: 11
Node 20, start at 376, k: 19
Node 0, start at 269, k: 5
Node 1, start at 467, k: 5
Node 2, start at 875, k: 5
Node 3, start at 136, k: 5
Node 4, start at 271, k: 5
Node 5, start at 69, k: 5
Node 6, start at 524, k: 5
Node 7, start at 600, k: 5
Node 8, start at 565, k: 5
Node 9, start at 461, k: 5
Node 10, start at 767, k: 5
Node 11, start at 428, k: 5
Node 12, start at 844, k: 5
Node 13, start at 288, k: 5
Node 14, start at 262, k: 5
Node 15, start at 150, k: 5
Node 16, start at 266, k: 5
Node 17, start at 194, k: 5
Node 18, start at 122, k: 5
Node 19, start at 560, k: 5
Node 20, start at 376, k: 5
Node 0, start at 504, k: 3
Node 1, start at 193, k: 19
Node 2, start at 253, k: 3
Node 3, start at 876, k: 5
Node 4, start at 106, k: 5
Node 5, start at 775, k: 11
Node 6, start at 449, k: 3
Node 7, start at 417, k: 11
Node 8, start at 812, k: 7
Node 9, start at 856, k: 5
Node 10, start at 125, k: 3
Node 11, start at 160, k: 3
Node 12, start at 295, k: 5
Node 13, start at 559, k: 11
Node 14, start at 963, k: 3
Node 15, start at 110, k: 5
Node 16, start at 744, k: 3
Node 17, start at 826, k: 5
Node 18, start at 791, k: 5
Node 19, start at 436, k: 11
Node 20, start at 870, k: 3
Node 0, start at 504, k: 5
Node 1, start at 193, k: 5
Node 2, start at 253, k: 5
Node 3, start at 876, k: 5
Node 4, start at 106, k: 5
Node 5, start at 775, k: 5
Node 6, start at 449, k: 5
Node 7, start at 417, k: 5
Node 8, start at 812, k: 5
Node 9, start at 856, k: 5
Node 10, start at 125, k: 5
Node 11, start at 160, k: 5
Node 12, start at 295, k: 5
Node 13, start at 559, k: 5
Node 14, start at 963, k: 5
Node 15, start at 110, k: 5
Node 16, start at 744, k: 5
Node 17, start at 826, k: 5
Node 18, start at 791, k: 5
Node 19, start at 436, k: 5
Node 20, start at 870, k: 5
Node 0, start at 840, k: 5
Node 1, start at 102, k: 3
Node 2, start at 811, k: 3
Node 3, start at 840, k: 3
Node 4, start at 889, k: 7
Node 5, start at 947, k: 19
Node 6, start at 833, k: 7
Node 7, start at 25, k: 5
Node 8, start at 354, k: 7
Node 9, start at 446, k: 11
Node 10, start at 902, k: 19
Node 11, start at 460, k: 11
Node 12, start at 729, k: 19
Node 13, start at 96, k: 19
Node 14, start at 596, k: 3
Node 15, start at 583, k: 3
Node 16, start at 772, k: 7
Node 17, start at 485, k: 3
Node 18, start at 194, k: 3
Node 19, start at 658, k: 3
Node 20, start at 69, k: 7
Node 0, start at 840, k: 5
Node 1, start at 102, k: 5
Node 2, start at 811, k: 5
Node 3, start at 840, k: 5
Node 4, start at 889, k: 5
Node 5, start at 947, k: 5
Node 6, start at 833, k: 5
Node 7, start at 25, k: 5
Node 8, start at 354, k: 5
Node 9, start at 446, k: 5
Node 10, start at 902, k: 5
Node 11, start at 460, k: 5
Node 12, start at 729, k: 5
Node 13, start at 96, k: 5
Node 14, start at 596, k: 5
Node 15, start at 583, k: 5
Node 16, start at 772, k: 5
Node 17, start at 485, k: 5
Node 18, start at 194, k: 5
Node 19, start at 658, k: 5
Node 20, start at 69, k: 5
Node 0, start at 790, k: 7
Node 1, start at 68, k: 19
Node 2, start at 676, k: 11
Node 3, start at 283, k: 7
Node 4, start at 524, k: 7
Node 5, start at 497, k: 3
Node 6, start at 223, k: 7
Node 7, start at 318, k: 3
Node 8, start at 36, k: 19
Node 9, start at 514, k: 7
Node 10, start at 231, k: 3
Node 11, start at 546, k: 19
Node 12, start at 181, k: 11
Node 13, start at 760, k: 7
Node 14, start at 153, k: 5
Node 15, start at 608, k: 5
Node 16, start at 647, k: 5
Node 17, start at 203, k: 7
Node 18, start at 336, k: 5
Node 19, start at 126, k: 3
Node 20, start at 941, k: 7
Node 0, start at 790, k: 5
Node 1, start at 68, k: 5
Node 2, start at 676, k: 5
Node 3, start at 283, k: 5
Node 4, start at 524, k: 5
Node 5, start at 497, k: 5
Node 6, start at 223, k: 5
Node 7, start at 318, k: 5
Node 8, start at 36, k: 5
Node 9, start at 514, k: 5
Node 10, start at 231, k: 5
Node 11, start at 546, k: 5
Node 12, start at 181, k: 5
Node 13, start at 760, k: 5
Node 14, start at 153, k: 5
Node 15, start at 608, k: 5
Node 16, start at 647, k: 5
Node 17, start at 203, k: 5
Node 18, start at 336, k: 5
Node 19, start at 126, k: 5
Node 20, start at 941, k: 5
Node 0, start at 33, k: 11
Node 1, start at 387, k: 5
Node 2, start at 935, k: 3
Node 3, start at 508, k: 3
Node 4, start at 389, k: 3
Node 5, start at 195, k: 19
Node 6, start at 574, k: 3
Node 7, start at 426, k: 3
Node 8, start at 774, k: 5
Node 9, start at 870, k: 7
Node 10, start at 957, k: 5
Node 11, start at 168, k: 3
Node 12, start at 750, k: 5
Node 13, start at 610, k: 5
Node 14, start at 611, k: 19
Node 15, start at 545, k: 3
Node 16, start at 90, k: 7
Node 17, start at 290, k: 7
Node 18, start at 472, k: 11
Node 19, start at 702, k: 3
Node 20, start at 801, k: 5
Node 0, start at 33, k: 5
Node 1, start at 387, k: 5
Node 2, start at 935, k: 5
Node 3, start at 508, k: 5
Node 4, start at 389, k: 5
Node 5, start at 195, k: 5
Node 6, start at 574, k: 5
Node 7, start at 426, k: 5
Node 8, start at 774, k: 5
Node 9, start at 870, k: 5
Node 10, start at 957, k: 5
Node 11, start at 168, k: 5
Node 12, start at 750, k: 5
Node 13, start at 610, k: 5
Node 14, start at 611, k: 5
Node 15, start at 545, k: 5
Node 16, start at 90, k: 5
Node 17, start at 290, k: 5
Node 18, start at 472, k: 5
Node 19, start at 702, k: 5
Node 20, start at 801, k: 5
Node 0, start at 58, k: 3
Node 1, start at 398, k: 3
Node 2, start at 721, k: 3
Node 3, start at 545, k: 11
Node 4, start at 205, k: 3
Node 5, start at 964, k: 5
Node 6, start at 464, k: 5
Node 7, start at 737, k: 7
Node 8, start at 463, k: 3
Node 9, start at 907, k: 7
Node 10, start at 283, k: 19
Node 11, start at 132, k: 5
Node 12, start at 559, k: 3
Node 13, start at 591, k: 5
Node 14, start at 796, k: 5
Node 15, start at 564, k: 11
Node 16, start at 627, k: 7
Node 17, start at 556, k: 7
Node 18, start at 681, k: 3
Node 19, start at 827, k: 3
Node 20, start at 204, k: 3
Node 0, start at 58, k: 5
Node 1, start at 398, k: 5
Node 2, start at 721, k: 5
Node 3, start at 545, k: 5
Node 4, start at 205, k: 5
Node 5, start at 964, k: 5
Node 6, start at 464, k: 5
Node 7, start at 737, k: 5
Node 8, start at 463, k: 5
Node 9, start at 907, k: 5
Node 10, start at 283, k: 5
Node 11, start at 132, k: 5
Node 12, start at 559, k: 5
Node 13, start at 591, k: 5
Node 14, start at 796, k: 5
Node 15, start at 564, k: 5
Node 16, start at 627, k: 5
Node 17, start at 556, k: 5
Node 18, start at 681, k: 5
Node 19, start at 827, k: 5
Node 20, start at 204, k: 5
