Node 0, start at 107, c: 5
Node 80, start at 768, c: 5
Node 81, start at 209, c: 7
Node 82, start at 108, c: 19
Node 83, start at 557, c: 5
Node 84, start at 577, c: 13
Node 85, start at 937, c: 11
Node 86, start at 836, c: 13
Node 87, start at 81, c: 5
Node 88, start at 384, c: 11
Node 89, start at 338, c: 5
Node 90, start at 915, c: 11
Node 91, start at 212, c: 5
Node 92, start at 662, c: 3
Node 93, start at 47, c: 5
Node 94, start at 939, c: 3
Node 95, start at 482, c: 5
Node 96, start at 969, c: 11
Node 97, start at 900, c: 5
Node 98, start at 572, c: 19
Node 99, start at 243, c: 11
Node 100, start at 944, c: 5
Node 101, start at 645, c: 5
Node 102, start at 295, c: 3
Node 103, start at 200, c: 5
Node 104, start at 127, c: 7
Node 105, start at 598, c: 5
Node 106, start at 398, c: 3
Node 107, start at 673, c: 13
Node 108, start at 649, c: 7
Node 109, start at 605, c: 19
Node 110, start at 499, c: 7
Node 111, start at 542, c: 5
Node 112, start at 254, c: 5
Node 113, start at 158, c: 11
Node 114, start at 801, c: 11
Node 115, start at 406, c: 11
Node 116, start at 555, c: 11
Node 117, start at 697, c: 5
Node 118, start at 985, c: 13
Node 119, start at 651, c: 3
Node 120, start at 693, c: 19
Node 121, start at 877, c: 11
Node 122, start at 657, c: 5
Node 123, start at 799, c: 11
Node 124, start at 765, c: 11
Node 125, start at 278, c: 3
Node 126, start at 905, c: 7
Node 127, start at 521, c: 11
Node 128, start at 323, c: 7
Node 129, start at 206, c: 5
Node 130, start at 525, c: 11
Node 131, start at 716, c: 5
Node 132, start at 716, c: 7
Node 133, start at 977, c: 5
Node 134, start at 979, c: 13
Node 135, start at 478, c: 7
Node 136, start at 324, c: 19
Node 137, start at 698, c: 5
Node 138, start at 354, c: 11
Node 139, start at 190, c: 5
Node 140, start at 244, c: 5
Node 141, start at 922, c: 5
Node 142, start at 32, c: 5
Node 143, start at 264, c: 19
Node 144, start at 960, c: 7
Node 145, start at 328, c: 11
Node 146, start at 970, c: 13
Node 147, start at 477, c: 7
Node 148, start at 625, c: 7
Node 149, start at 333, c: 5
Node 150, start at 723, c: 13
Node 151, start at 27, c: 11
Node 152, start at 327, c: 19
Node 153, start at 655, c: 7
Node 154, start at 777, c: 13
Node 155, start at 222, c: 7
Node 156, start at 96, c: 5
Node 157, start at 483, c: 5
Node 158, start at 825, c: 19
Node 159, start at 687, c: 19
Node 160, start at 910, c: 13
Node 161, start at 525, c: 19
Node 162, start at 927, c: 7
Node 163, start at 484, c: 7
Node 164, start at 659, c: 7
Node 165, start at 749, c: 5
Node 166, start at 616, c: 3
Node 167, start at 135, c: 5
Node 168, start at 268, c: 5
Node 169, start at 203, c: 7
Node 170, start at 432, c: 13
Node 171, start at 700, c: 5
Node 172, start at 493, c: 5
Node 173, start at 451, c: 5
Node 174, start at 595, c: 7
Node 175, start at 645, c: 5
Node 176, start at 260, c: 5
Node 177, start at 772, c: 7
Node 178, start at 279, c: 5
Node 179, start at 976, c: 3
Node 180, start at 570, c: 19
Node 181, start at 584, c: 5
Node 182, start at 903, c: 3
Node 183, start at 349, c: 5
Node 184, start at 586, c: 5
Node 185, start at 795, c: 13
Node 186, start at 367, c: 11
Node 187, start at 435, c: 5
Node 188, start at 129, c: 5
Node 189, start at 563, c: 19
Node 190, start at 325, c: 19
Node 191, start at 933, c: 5
Node 192, start at 157, c: 11
Node 193, start at 472, c: 3
Node 194, start at 329, c: 19
Node 195, start at 301, c: 5
Node 196, start at 722, c: 3
Node 197, start at 282, c: 5
Node 198, start at 286, c: 19
Node 199, start at 445, c: 7
Node 200, start at 752, c: 7
Node 201, start at 642, c: 19
Node 202, start at 802, c: 11
Node 203, start at 758, c: 19
Node 204, start at 53, c: 3
Node 205, start at 855, c: 5
Node 206, start at 487, c: 5
Node 207, start at 689, c: 7
Node 208, start at 610, c: 19
Node 209, start at 811, c: 3
Node 210, start at 802, c: 5
Node 211, start at 289, c: 13
Node 212, start at 447, c: 13
Node 213, start at 145, c: 11
Node 214, start at 435, c: 3
Node 215, start at 417, c: 5
Node 216, start at 18, c: 5
Node 217, start at 92, c: 13
Node 218, start at 670, c: 7
Node 219, start at 305, c: 5
Node 220, start at 51, c: 19
Node 221, start at 741, c: 11
Node 222, start at 54, c: 5
Node 223, start at 703, c: 19
Node 224, start at 538, c: 11
Node 225, start at 491, c: 19
Node 226, start at 738, c: 5
Node 227, start at 846, c: 13
Node 228, start at 472, c: 7
Node 229, start at 102, c: 13
Node 230, start at 218, c: 5
Node 231, start at 379, c: 11
Node 232, start at 116, c: 11
Node 233, start at 82, c: 7
Node 234, start at 807, c: 13
Node 235, start at 381, c: 7
Node 236, start at 647, c: 5
Node 237, start at 159, c: 13
Node 238, start at 353, c: 13
Node 239, start at 872, c: 5
Node 240, start at 650, c: 13
Node 241, start at 407, c: 3
Node 242, start at 13, c: 13
Node 243, start at 284, c: 7
Node 244, start at 652, c: 5
Node 245, start at 979, c: 7
Node 246, start at 328, c: 5
Node 247, start at 565, c: 13
Node 248, start at 667, c: 7
Node 249, start at 599, c: 5
Node 250, start at 123, c: 13
Node 251, start at 471, c: 13
Node 252, start at 85, c: 19
Node 253, start at 811, c: 13
Node 254, start at 440, c: 7
Node 255, start at 929, c: 19
Node 256, start at 452, c: 7
Node 257, start at 493, c: 19
Node 258, start at 321, c: 19
Node 259, start at 440, c: 7
Node 260, start at 516, c: 11
Node 261, start at 182, c: 19
Node 262, start at 272, c: 11
Node 263, start at 163, c: 5
Node 264, start at 151, c: 7
Node 265, start at 323, c: 7
Node 266, start at 515, c: 7
Node 267, start at 403, c: 19
Node 268, start at 790, c: 11
Node 269, start at 265, c: 5
Node 270, start at 728, c: 11
Node 271, start at 896, c: 11
Node 272, start at 901, c: 5
Node 273, start at 708, c: 5
Node 274, start at 684, c: 5
Node 275, start at 864, c: 7
Node 276, start at 248, c: 13
Node 277, start at 864, c: 7
Node 278, start at 267, c: 7
Node 279, start at 222, c: 7
Node 280, start at 679, c: 19
Node 281, start at 990, c: 7
Node 282, start at 967, c: 11
Node 283, start at 585, c: 7
Node 284, start at 916, c: 7
Node 285, start at 465, c: 5
Node 286, start at 465, c: 7
Node 287, start at 362, c: 13
Node 288, start at 521, c: 11
Node 289, start at 437, c: 7
Node 290, start at 274, c: 7
Node 291, start at 226, c: 7
Node 292, start at 273, c: 13
Node 293, start at 716, c: 3
Node 294, start at 667, c: 13
Node 295, start at 366, c: 3
Node 296, start at 901, c: 19
Node 297, start at 676, c: 5
Node 298, start at 733, c: 5
Node 299, start at 450, c: 11
Node 300, start at 438, c: 11
Node 301, start at 215, c: 5
Node 302, start at 195, c: 5
Node 303, start at 638, c: 5
Node 304, start at 308, c: 5
Node 305, start at 328, c: 5
Node 306, start at 971, c: 11
Node 307, start at 380, c: 5
Node 308, start at 353, c: 11
Node 309, start at 57, c: 19
Node 310, start at 265, c: 7
Node 311, start at 169, c: 19
Node 312, start at 321, c: 5
Node 313, start at 313, c: 3
Node 314, start at 895, c: 13
Node 315, start at 753, c: 5
Node 316, start at 595, c: 5
Node 317, start at 507, c: 7
Node 318, start at 1, c: 7
Node 319, start at 504, c: 7
Node 320, start at 500, c: 19
Node 321, start at 645, c: 19
Node 322, start at 508, c: 3
Node 323, start at 480, c: 7
Node 324, start at 799, c: 7
Node 325, start at 681, c: 5
Node 326, start at 872, c: 5
Node 327, start at 315, c: 3
Node 328, start at 133, c: 11
Node 329, start at 764, c: 7
Node 330, start at 45, c: 5
Node 331, start at 869, c: 13
Node 332, start at 76, c: 11
Node 333, start at 859, c: 19
Node 334, start at 250, c: 3
Node 335, start at 316, c: 11
Node 336, start at 504, c: 13
Node 337, start at 253, c: 3
Node 338, start at 819, c: 7
Node 339, start at 108, c: 11
Node 340, start at 650, c: 13
Node 341, start at 518, c: 19
Node 342, start at 505, c: 7
Node 343, start at 482, c: 11
Node 344, start at 242, c: 19
Node 345, start at 876, c: 13
Node 346, start at 384, c: 5
Node 347, start at 561, c: 5
Node 348, start at 586, c: 19
Node 349, start at 520, c: 13
Node 350, start at 132, c: 13
Node 351, start at 512, c: 5
Node 352, start at 827, c: 19
Node 353, start at 546, c: 5
Node 354, start at 491, c: 7
Node 355, start at 417, c: 11
Node 356, start at 619, c: 19
Node 357, start at 389, c: 5
Node 358, start at 468, c: 13
Node 359, start at 646, c: 3
Node 360, start at 798, c: 5
Node 361, start at 857, c: 13
Node 362, start at 251, c: 5
Node 363, start at 386, c: 19
Node 364, start at 403, c: 5
Node 365, start at 660, c: 13
Node 366, start at 837, c: 7
Node 367, start at 12, c: 7
Node 368, start at 965, c: 5
Node 369, start at 911, c: 7
Node 370, start at 716, c: 11
Node 371, start at 678, c: 5
Node 372, start at 801, c: 5
Node 373, start at 77, c: 7
Node 374, start at 464, c: 7
Node 375, start at 988, c: 5
Node 376, start at 380, c: 13
Node 377, start at 80, c: 7
Node 378, start at 958, c: 3
Node 379, start at 304, c: 7
Node 380, start at 464, c: 5
Node 381, start at 293, c: 13
Node 382, start at 370, c: 13
Node 383, start at 792, c: 5
Node 384, start at 171, c: 5
Node 385, start at 164, c: 5
Node 386, start at 409, c: 13
Node 387, start at 158, c: 13
Node 388, start at 578, c: 13
Node 389, start at 435, c: 5
Node 390, start at 60, c: 19
Node 391, start at 591, c: 19
Node 392, start at 75, c: 5
Node 393, start at 233, c: 3
Node 394, start at 835, c: 5
Node 395, start at 107, c: 5
Node 396, start at 763, c: 11
Node 397, start at 609, c: 5
Node 398, start at 565, c: 5
Node 399, start at 849, c: 5
Node 400, start at 792, c: 7
Node 401, start at 822, c: 5
Node 402, start at 161, c: 13
Node 403, start at 331, c: 3
Node 404, start at 566, c: 5
Node 405, start at 835, c: 19
Node 406, start at 361, c: 5
Node 407, start at 288, c: 11
Node 408, start at 923, c: 19
Node 409, start at 651, c: 7
Node 410, start at 549, c: 3
Node 411, start at 525, c: 13
Node 412, start at 304, c: 7
Node 413, start at 842, c: 11
Node 414, start at 543, c: 5
Node 415, start at 774, c: 5
Node 416, start at 983, c: 7
Node 417, start at 234, c: 5
Node 418, start at 98, c: 7
Node 419, start at 320, c: 5
Node 420, start at 183, c: 13
Node 421, start at 157, c: 13
Node 422, start at 603, c: 19
Node 423, start at 17, c: 5
Node 424, start at 596, c: 5
Node 425, start at 250, c: 5
Node 426, start at 364, c: 5
Node 427, start at 814, c: 11
Node 428, start at 426, c: 19
Node 429, start at 201, c: 5
Node 430, start at 412, c: 13
Node 431, start at 86, c: 19
Node 432, start at 663, c: 19
Node 433, start at 281, c: 11
Node 434, start at 612, c: 5
Node 435, start at 61, c: 7
Node 436, start at 539, c: 11
Node 437, start at 905, c: 5
Node 438, start at 379, c: 13
Node 439, start at 567, c: 7
Node 440, start at 66, c: 5
Node 441, start at 375, c: 7
Node 442, start at 470, c: 7
Node 443, start at 479, c: 19
Node 444, start at 178, c: 5
Node 445, start at 344, c: 7
Node 446, start at 927, c: 11
Node 447, start at 458, c: 13
Node 448, start at 895, c: 5
Node 449, start at 792, c: 7
Node 450, start at 14, c: 11
Node 451, start at 403, c: 7
Node 452, start at 803, c: 13
Node 453, start at 91, c: 19
Node 454, start at 657, c: 11
Node 455, start at 533, c: 7
Node 456, start at 240, c: 5
Node 457, start at 513, c: 13
Node 458, start at 834, c: 3
Node 459, start at 109, c: 5
Node 460, start at 633, c: 19
Node 461, start at 993, c: 5
Node 462, start at 747, c: 5
Node 463, start at 938, c: 13
Node 464, start at 743, c: 5
Node 465, start at 188, c: 19
Node 466, start at 799, c: 5
Node 467, start at 549, c: 5
Node 468, start at 384, c: 19
Node 469, start at 948, c: 7
Node 470, start at 351, c: 11
Node 471, start at 711, c: 19
Node 472, start at 222, c: 11
Node 473, start at 768, c: 5
Node 474, start at 508, c: 7
Node 475, start at 283, c: 5
Node 476, start at 692, c: 7
Node 477, start at 930, c: 3
Node 478, start at 68, c: 7
Node 479, start at 123, c: 7
Node 480, start at 992, c: 11
Node 481, start at 573, c: 19
Node 482, start at 707, c: 11
Node 483, start at 613, c: 13
Node 484, start at 967, c: 13
Node 485, start at 362, c: 5
Node 486, start at 29, c: 5
Node 487, start at 682, c: 19
Node 488, start at 213, c: 7
Node 489, start at 893, c: 13
Node 490, start at 388, c: 11
Node 491, start at 518, c: 19
Node 492, start at 541, c: 13
Node 493, start at 281, c: 5
Node 494, start at 822, c: 5
Node 495, start at 195, c: 7
Node 496, start at 356, c: 5
Node 497, start at 888, c: 5
Node 498, start at 204, c: 19
Node 499, start at 275, c: 13
Node 500, start at 896, c: 11
Node 501, start at 972, c: 5
Node 502, start at 496, c: 5
Node 503, start at 121, c: 5
Node 504, start at 983, c: 13
Node 505, start at 493, c: 3
Node 506, start at 290, c: 3
Node 507, start at 761, c: 11
Node 508, start at 729, c: 5
Node 509, start at 744, c: 7
Node 510, start at 170, c: 7
Node 511, start at 163, c: 13
Node 512, start at 842, c: 19
Node 513, start at 36, c: 7
Node 514, start at 724, c: 11
Node 515, start at 974, c: 5
Node 516, start at 657, c: 5
Node 517, start at 815, c: 5
Node 518, start at 205, c: 5
Node 519, start at 810, c: 13
Node 520, start at 818, c: 19
Node 521, start at 522, c: 13
Node 522, start at 365, c: 11
Node 523, start at 249, c: 7
Node 524, start at 675, c: 19
Node 525, start at 787, c: 7
Node 526, start at 36, c: 19
Node 527, start at 693, c: 5
Node 528, start at 853, c: 7
Node 529, start at 326, c: 5
Node 530, start at 758, c: 11
Node 531, start at 358, c: 3
Node 532, start at 270, c: 5
Node 533, start at 994, c: 11
Node 534, start at 954, c: 19
Node 535, start at 731, c: 3
Node 536, start at 992, c: 3
Node 537, start at 514, c: 19
Node 538, start at 64, c: 5
Node 539, start at 865, c: 7
Node 540, start at 548, c: 19
Node 541, start at 802, c: 13
Node 542, start at 168, c: 13
Node 543, start at 648, c: 3
Node 544, start at 216, c: 13
Node 545, start at 846, c: 3
Node 546, start at 832, c: 5
Node 547, start at 610, c: 19
Node 548, start at 904, c: 3
Node 549, start at 471, c: 11
Node 550, start at 238, c: 5
Node 551, start at 558, c: 7
Node 552, start at 980, c: 3
Node 553, start at 39, c: 19
Node 554, start at 616, c: 19
Node 555, start at 993, c: 5
Node 556, start at 630, c: 11
Node 557, start at 566, c: 7
Node 558, start at 370, c: 7
Node 559, start at 128, c: 7
Node 560, start at 982, c: 5
Node 561, start at 923, c: 5
Node 562, start at 563, c: 13
Node 563, start at 759, c: 19
Node 564, start at 131, c: 11
Node 565, start at 872, c: 5
Node 566, start at 26, c: 11
Node 567, start at 1000, c: 5
Node 568, start at 979, c: 19
Node 569, start at 382, c: 7
Node 570, start at 254, c: 7
Node 571, start at 869, c: 7
Node 572, start at 73, c: 7
Node 573, start at 328, c: 5
Node 574, start at 291, c: 7
Node 575, start at 819, c: 7
Node 576, start at 487, c: 3
Node 577, start at 685, c: 5
Node 578, start at 786, c: 7
Node 579, start at 337, c: 7
Node 580, start at 761, c: 13
Node 581, start at 762, c: 11
Node 582, start at 799, c: 5
Node 583, start at 243, c: 5
Node 584, start at 333, c: 5
Node 585, start at 314, c: 7
Node 586, start at 488, c: 19
Node 587, start at 399, c: 7
Node 588, start at 282, c: 7
Node 589, start at 652, c: 5
Node 590, start at 543, c: 5
Node 591, start at 429, c: 5
Node 592, start at 39, c: 3
Node 593, start at 49, c: 13
Node 594, start at 786, c: 5
Node 595, start at 447, c: 13
Node 596, start at 326, c: 5
Node 597, start at 874, c: 3
Node 598, start at 684, c: 19
Node 599, start at 806, c: 7
Node 600, start at 427, c: 11
Node 601, start at 913, c: 7
Node 602, start at 689, c: 3
Node 603, start at 419, c: 7
Node 604, start at 29, c: 7
Node 605, start at 953, c: 13
Node 606, start at 857, c: 7
Node 607, start at 454, c: 5
Node 608, start at 488, c: 3
Node 609, start at 187, c: 13
Node 610, start at 192, c: 7
Node 611, start at 36, c: 5
Node 612, start at 723, c: 7
Node 613, start at 60, c: 7
Node 614, start at 951, c: 5
Node 615, start at 202, c: 5
Node 616, start at 312, c: 13
Node 617, start at 149, c: 11
Node 618, start at 688, c: 7
Node 619, start at 854, c: 3
Node 620, start at 838, c: 5
Node 621, start at 494, c: 5
Node 622, start at 452, c: 7
Node 623, start at 1000, c: 3
Node 624, start at 295, c: 5
Node 625, start at 833, c: 13
Node 626, start at 162, c: 5
Node 627, start at 116, c: 13
Node 628, start at 619, c: 7
Node 629, start at 925, c: 3
Node 630, start at 889, c: 5
Node 631, start at 752, c: 5
Node 632, start at 329, c: 5
Node 633, start at 96, c: 7
Node 634, start at 86, c: 7
Node 635, start at 787, c: 5
Node 636, start at 299, c: 13
Node 637, start at 193, c: 11
Node 638, start at 695, c: 13
Node 639, start at 836, c: 5
Node 640, start at 391, c: 7
Node 641, start at 23, c: 5
Node 642, start at 453, c: 5
Node 643, start at 167, c: 13
Node 644, start at 377, c: 3
Node 645, start at 453, c: 7
Node 646, start at 372, c: 13
Node 647, start at 624, c: 19
Node 648, start at 834, c: 13
Node 649, start at 919, c: 19
Node 650, start at 860, c: 11
Node 651, start at 339, c: 3
Node 652, start at 633, c: 5
Node 653, start at 235, c: 5
Node 654, start at 13, c: 19
Node 655, start at 676, c: 3
Node 656, start at 97, c: 11
Node 657, start at 995, c: 7
Node 658, start at 824, c: 5
Node 659, start at 777, c: 5
Node 660, start at 630, c: 5
Node 661, start at 867, c: 7
Node 662, start at 315, c: 5
Node 663, start at 685, c: 7
Node 664, start at 535, c: 19
Node 665, start at 650, c: 5
Node 666, start at 705, c: 7
Node 667, start at 400, c: 3
Node 668, start at 443, c: 7
Node 669, start at 182, c: 7
Node 670, start at 865, c: 5
Node 671, start at 394, c: 5
Node 672, start at 615, c: 19
Node 673, start at 836, c: 19
Node 674, start at 247, c: 7
Node 675, start at 31, c: 5
Node 676, start at 675, c: 19
Node 677, start at 840, c: 3
Node 678, start at 507, c: 11
Node 679, start at 663, c: 7
Node 680, start at 855, c: 7
Node 681, start at 960, c: 7
Node 682, start at 795, c: 7
Node 683, start at 231, c: 7
Node 684, start at 3, c: 11
Node 685, start at 576, c: 5
Node 686, start at 864, c: 3
Node 687, start at 523, c: 5
Node 688, start at 932, c: 11
Node 689, start at 74, c: 11
Node 690, start at 689, c: 7
Node 691, start at 312, c: 7
Node 692, start at 601, c: 7
Node 693, start at 611, c: 19
Node 694, start at 22, c: 11
Node 695, start at 887, c: 7
Node 696, start at 908, c: 7
Node 697, start at 809, c: 7
Node 698, start at 897, c: 11
Node 699, start at 372, c: 7
Node 700, start at 666, c: 7
Node 701, start at 595, c: 7
Node 702, start at 482, c: 13
Node 703, start at 4, c: 7
Node 704, start at 217, c: 19
Node 705, start at 530, c: 3
Node 706, start at 501, c: 5
Node 707, start at 946, c: 7
Node 708, start at 50, c: 5
Node 709, start at 544, c: 5
Node 710, start at 528, c: 5
Node 711, start at 963, c: 13
Node 712, start at 303, c: 5
Node 713, start at 293, c: 19
Node 714, start at 119, c: 7
Node 715, start at 954, c: 13
Node 716, start at 649, c: 5
Node 717, start at 651, c: 19
Node 718, start at 477, c: 3
Node 719, start at 331, c: 5
Node 720, start at 323, c: 5
Node 721, start at 1, c: 5
Node 722, start at 210, c: 3
Node 723, start at 731, c: 3
Node 724, start at 876, c: 11
Node 725, start at 247, c: 3
Node 726, start at 234, c: 13
Node 727, start at 19, c: 5
Node 728, start at 54, c: 5
Node 729, start at 983, c: 13
Node 730, start at 275, c: 13
Node 731, start at 364, c: 7
Node 732, start at 240, c: 5
Node 733, start at 579, c: 11
Node 734, start at 24, c: 13
Node 735, start at 606, c: 7
Node 736, start at 454, c: 19
Node 737, start at 924, c: 5
Node 738, start at 775, c: 5
Node 739, start at 721, c: 7
Node 740, start at 685, c: 5
Node 741, start at 444, c: 7
Node 742, start at 172, c: 13
Node 743, start at 480, c: 5
Node 744, start at 145, c: 3
Node 745, start at 876, c: 5
Node 746, start at 816, c: 19
Node 747, start at 197, c: 19
Node 748, start at 142, c: 3
Node 749, start at 51, c: 3
Node 750, start at 745, c: 5
Node 751, start at 677, c: 11
Node 752, start at 41, c: 19
Node 753, start at 668, c: 19
Node 754, start at 146, c: 5
Node 755, start at 976, c: 3
Node 756, start at 600, c: 11
Node 757, start at 353, c: 7
Node 758, start at 536, c: 19
Node 759, start at 763, c: 7
Node 760, start at 149, c: 7
Node 761, start at 983, c: 3
Node 762, start at 94, c: 5
Node 763, start at 287, c: 7
Node 764, start at 592, c: 5
Node 765, start at 170, c: 3
Node 766, start at 117, c: 11
Node 767, start at 986, c: 5
Node 768, start at 781, c: 5
Node 769, start at 521, c: 5
Node 770, start at 642, c: 5
Node 771, start at 656, c: 19
Node 772, start at 594, c: 13
Node 773, start at 286, c: 11
Node 774, start at 51, c: 13
Node 775, start at 173, c: 5
Node 776, start at 890, c: 5
Node 777, start at 754, c: 3
Node 778, start at 185, c: 5
Node 779, start at 724, c: 11
Node 780, start at 85, c: 5
Node 781, start at 659, c: 5
Node 782, start at 391, c: 19
Node 783, start at 854, c: 7
Node 784, start at 800, c: 7
Node 785, start at 674, c: 3
Node 786, start at 340, c: 5
Node 787, start at 697, c: 7
Node 788, start at 902, c: 11
Node 789, start at 156, c: 7
Node 790, start at 818, c: 3
Node 791, start at 73, c: 13
Node 792, start at 3, c: 5
Node 793, start at 577, c: 5
Node 794, start at 552, c: 5
Node 795, start at 546, c: 5
Node 796, start at 658, c: 5
Node 797, start at 944, c: 11
Node 798, start at 121, c: 19
Node 799, start at 240, c: 19
Node 800, start at 314, c: 5
Node 801, start at 81, c: 7
Node 802, start at 835, c: 7
Node 803, start at 675, c: 7
Node 804, start at 615, c: 5
Node 805, start at 249, c: 13
Node 806, start at 118, c: 19
Node 807, start at 807, c: 5
Node 808, start at 27, c: 11
Node 809, start at 122, c: 7
Node 810, start at 752, c: 19
Node 811, start at 744, c: 5
Node 812, start at 827, c: 5
Node 813, start at 933, c: 5
Node 814, start at 125, c: 3
Node 815, start at 855, c: 19
Node 816, start at 57, c: 3
Node 817, start at 337, c: 19
Node 818, start at 565, c: 7
Node 819, start at 538, c: 3
Node 820, start at 388, c: 5
Node 821, start at 959, c: 19
Node 822, start at 108, c: 13
Node 823, start at 313, c: 13
Node 824, start at 656, c: 11
Node 825, start at 87, c: 5
Node 826, start at 133, c: 5
Node 827, start at 769, c: 5
Node 828, start at 730, c: 19
Node 829, start at 956, c: 7
Node 830, start at 76, c: 19
Node 831, start at 449, c: 13
Node 832, start at 227, c: 5
Node 833, start at 972, c: 5
Node 834, start at 675, c: 5
Node 835, start at 383, c: 7
Node 836, start at 882, c: 7
Node 837, start at 991, c: 11
Node 838, start at 262, c: 7
Node 839, start at 9, c: 3
Node 840, start at 812, c: 5
Node 841, start at 302, c: 5
Node 842, start at 894, c: 7
Node 843, start at 379, c: 7
Node 844, start at 543, c: 7
Node 845, start at 284, c: 3
Node 846, start at 756, c: 5
Node 847, start at 867, c: 5
Node 848, start at 505, c: 19
Node 849, start at 828, c: 5
Node 850, start at 225, c: 5
Node 851, start at 121, c: 5
Node 852, start at 408, c: 7
Node 853, start at 101, c: 13
Node 854, start at 757, c: 11
Node 855, start at 779, c: 7
Node 856, start at 625, c: 3
Node 857, start at 12, c: 5
Node 858, start at 358, c: 5
Node 859, start at 78, c: 19
Node 860, start at 500, c: 5
Node 861, start at 659, c: 5
Node 862, start at 815, c: 19
Node 863, start at 535, c: 7
Node 864, start at 313, c: 13
Node 865, start at 432, c: 5
Node 866, start at 167, c: 5
Node 867, start at 632, c: 11
Node 868, start at 584, c: 5
Node 869, start at 231, c: 3
Node 870, start at 795, c: 19
Node 871, start at 176, c: 13
Node 872, start at 313, c: 3
Node 873, start at 97, c: 19
Node 874, start at 302, c: 7
Node 875, start at 357, c: 19
Node 876, start at 675, c: 13
Node 877, start at 514, c: 5
Node 878, start at 606, c: 19
Node 879, start at 174, c: 5
Node 880, start at 750, c: 7
Node 881, start at 602, c: 7
Node 882, start at 331, c: 5
Node 883, start at 314, c: 13
Node 884, start at 846, c: 5
Node 885, start at 30, c: 13
Node 886, start at 814, c: 3
Node 887, start at 955, c: 5
Node 888, start at 223, c: 7
Node 889, start at 234, c: 5
Node 890, start at 44, c: 5
Node 891, start at 924, c: 19
Node 892, start at 760, c: 5
Node 893, start at 154, c: 5
Node 894, start at 621, c: 11
Node 895, start at 673, c: 5
Node 896, start at 897, c: 5
Node 897, start at 944, c: 5
Node 898, start at 780, c: 5
Node 899, start at 587, c: 3
Node 900, start at 73, c: 7
Node 901, start at 604, c: 7
Node 902, start at 237, c: 5
Node 903, start at 339, c: 5
Node 904, start at 741, c: 5
Node 905, start at 430, c: 3
Node 906, start at 149, c: 11
Node 907, start at 614, c: 5
Node 908, start at 192, c: 3
Node 909, start at 924, c: 5
Node 910, start at 18, c: 13
Node 911, start at 111, c: 5
Node 912, start at 165, c: 7
Node 913, start at 233, c: 5
Node 914, start at 199, c: 7
Node 915, start at 619, c: 5
Node 916, start at 563, c: 5
Node 917, start at 354, c: 7
Node 918, start at 350, c: 7
Node 919, start at 665, c: 13
Node 920, start at 877, c: 5
Node 921, start at 30, c: 19
Node 922, start at 776, c: 5
Node 923, start at 336, c: 7
Node 924, start at 168, c: 5
Node 925, start at 651, c: 13
Node 926, start at 128, c: 7
Node 927, start at 161, c: 7
Node 928, start at 218, c: 5
Node 929, start at 798, c: 19
Node 930, start at 775, c: 5
Node 931, start at 964, c: 3
