Node 0, start at 733, n: 5, c:5
Node 181, start at 531, n: 3, c:3
Node 182, start at 141, n: 3, c:3
Node 183, start at 761, n: 3, c:3
Node 184, start at 266, n: 3, c:3
Node 185, start at 486, n: 3, c:3
Node 186, start at 442, n: 5, c:5
Node 187, start at 423, n: 3, c:3
Node 188, start at 952, n: 11, c:11
Node 189, start at 258, n: 3, c:3
Node 190, start at 181, n: 11, c:11
Node 191, start at 626, n: 5, c:5
Node 192, start at 582, n: 3, c:3
Node 193, start at 319, n: 3, c:3
Node 194, start at 51, n: 3, c:3
Node 195, start at 635, n: 13, c:13
Node 196, start at 825, n: 13, c:13
Node 197, start at 1, n: 3, c:3
Node 198, start at 52, n: 5, c:5
Node 199, start at 381, n: 7, c:7
Node 200, start at 113, n: 5, c:5
Node 201, start at 646, n: 3, c:3
Node 202, start at 285, n: 13, c:13
Node 203, start at 275, n: 13, c:13
Node 204, start at 353, n: 3, c:3
Node 205, start at 117, n: 5, c:5
Node 206, start at 186, n: 5, c:5
Node 207, start at 545, n: 3, c:3
Node 208, start at 195, n: 3, c:3
Node 209, start at 12, n: 3, c:3
Node 210, start at 445, n: 11, c:11
Node 211, start at 82, n: 5, c:5
Node 212, start at 126, n: 3, c:3
Node 213, start at 185, n: 5, c:5
Node 214, start at 744, n: 7, c:7
Node 215, start at 441, n: 5, c:5
Node 216, start at 548, n: 5, c:5
Node 217, start at 601, n: 11, c:11
Node 218, start at 246, n: 5, c:5
Node 219, start at 245, n: 5, c:5
Node 220, start at 486, n: 11, c:11
Node 221, start at 326, n: 13, c:13
Node 222, start at 742, n: 3, c:3
Node 223, start at 969, n: 3, c:3
Node 224, start at 933, n: 5, c:5
Node 225, start at 835, n: 3, c:3
Node 226, start at 76, n: 3, c:3
Node 227, start at 139, n: 5, c:5
Node 228, start at 174, n: 3, c:3
Node 229, start at 168, n: 5, c:5
Node 230, start at 840, n: 13, c:13
Node 231, start at 444, n: 3, c:3
Node 232, start at 350, n: 5, c:5
Node 233, start at 95, n: 3, c:3
Node 234, start at 665, n: 5, c:5
Node 235, start at 608, n: 3, c:3
Node 236, start at 706, n: 13, c:13
Node 237, start at 585, n: 5, c:5
Node 238, start at 684, n: 3, c:3
Node 239, start at 619, n: 7, c:7
Node 240, start at 410, n: 5, c:5
Node 241, start at 45, n: 7, c:7
Node 242, start at 856, n: 13, c:13
Node 243, start at 879, n: 3, c:3
Node 244, start at 571, n: 3, c:3
Node 245, start at 975, n: 7, c:7
Node 246, start at 637, n: 11, c:11
Node 247, start at 823, n: 3, c:3
Node 248, start at 536, n: 5, c:5
Node 249, start at 560, n: 3, c:3
Node 250, start at 37, n: 3, c:3
Node 251, start at 31, n: 5, c:5
Node 252, start at 246, n: 5, c:5
Node 253, start at 26, n: 5, c:5
Node 254, start at 984, n: 13, c:13
Node 255, start at 95, n: 11, c:11
Node 256, start at 975, n: 11, c:11
Node 257, start at 953, n: 5, c:5
Node 258, start at 279, n: 7, c:7
Node 259, start at 545, n: 13, c:13
Node 260, start at 119, n: 5, c:5
Node 261, start at 531, n: 3, c:3
Node 262, start at 6, n: 11, c:11
Node 263, start at 323, n: 7, c:7
Node 264, start at 585, n: 11, c:11
Node 265, start at 727, n: 5, c:5
Node 266, start at 510, n: 3, c:3
Node 267, start at 594, n: 3, c:3
Node 268, start at 111, n: 3, c:3
Node 269, start at 200, n: 5, c:5
Node 270, start at 847, n: 5, c:5
Node 271, start at 665, n: 11, c:11
Node 272, start at 193, n: 5, c:5
Node 273, start at 289, n: 13, c:13
Node 274, start at 575, n: 5, c:5
Node 275, start at 302, n: 3, c:3
Node 276, start at 389, n: 3, c:3
Node 277, start at 549, n: 5, c:5
Node 278, start at 207, n: 5, c:5
Node 279, start at 591, n: 5, c:5
Node 280, start at 160, n: 5, c:5
Node 281, start at 744, n: 3, c:3
Node 282, start at 322, n: 3, c:3
Node 283, start at 703, n: 5, c:5
Node 284, start at 632, n: 13, c:13
Node 285, start at 204, n: 5, c:5
Node 286, start at 336, n: 5, c:5
Node 287, start at 621, n: 5, c:5
Node 288, start at 146, n: 5, c:5
Node 289, start at 803, n: 11, c:11
Node 290, start at 171, n: 13, c:13
Node 291, start at 969, n: 11, c:11
Node 292, start at 160, n: 7, c:7
Node 293, start at 952, n: 13, c:13
Node 294, start at 945, n: 3, c:3
Node 295, start at 297, n: 11, c:11
Node 296, start at 789, n: 11, c:11
Node 297, start at 955, n: 5, c:5
Node 298, start at 833, n: 11, c:11
Node 299, start at 912, n: 7, c:7
Node 300, start at 133, n: 11, c:11
Node 301, start at 677, n: 5, c:5
Node 302, start at 102, n: 11, c:11
Node 303, start at 343, n: 11, c:11
Node 304, start at 316, n: 13, c:13
Node 305, start at 313, n: 13, c:13
Node 306, start at 562, n: 13, c:13
Node 307, start at 192, n: 13, c:13
Node 308, start at 49, n: 3, c:3
Node 309, start at 403, n: 13, c:13
Node 310, start at 891, n: 5, c:5
Node 311, start at 273, n: 3, c:3
Node 312, start at 828, n: 3, c:3
Node 313, start at 495, n: 5, c:5
Node 314, start at 101, n: 13, c:13
Node 315, start at 790, n: 11, c:11
Node 316, start at 957, n: 3, c:3
Node 317, start at 333, n: 5, c:5
Node 318, start at 653, n: 3, c:3
Node 319, start at 38, n: 3, c:3
Node 320, start at 810, n: 3, c:3
Node 321, start at 771, n: 5, c:5
Node 322, start at 45, n: 13, c:13
Node 323, start at 869, n: 5, c:5
Node 324, start at 645, n: 3, c:3
Node 325, start at 980, n: 5, c:5
Node 326, start at 266, n: 5, c:5
Node 327, start at 620, n: 5, c:5
Node 328, start at 278, n: 3, c:3
Node 329, start at 301, n: 3, c:3
Node 330, start at 889, n: 13, c:13
Node 331, start at 702, n: 3, c:3
Node 332, start at 924, n: 5, c:5
Node 333, start at 953, n: 7, c:7
Node 334, start at 944, n: 13, c:13
Node 335, start at 616, n: 13, c:13
Node 336, start at 394, n: 5, c:5
Node 337, start at 723, n: 3, c:3
Node 338, start at 778, n: 11, c:11
Node 339, start at 289, n: 3, c:3
Node 340, start at 616, n: 3, c:3
Node 341, start at 125, n: 5, c:5
Node 342, start at 193, n: 5, c:5
Node 343, start at 597, n: 5, c:5
Node 344, start at 251, n: 3, c:3
Node 345, start at 335, n: 11, c:11
Node 346, start at 470, n: 5, c:5
Node 347, start at 186, n: 3, c:3
Node 348, start at 398, n: 3, c:3
Node 349, start at 568, n: 5, c:5
Node 350, start at 440, n: 3, c:3
Node 351, start at 748, n: 3, c:3
Node 352, start at 435, n: 13, c:13
Node 353, start at 889, n: 7, c:7
Node 354, start at 725, n: 5, c:5
Node 355, start at 104, n: 3, c:3
Node 356, start at 697, n: 3, c:3
Node 357, start at 834, n: 7, c:7
Node 358, start at 432, n: 3, c:3
Node 359, start at 385, n: 13, c:13
Node 360, start at 807, n: 7, c:7
Node 361, start at 852, n: 7, c:7
Node 362, start at 850, n: 11, c:11
Node 363, start at 90, n: 3, c:3
Node 364, start at 807, n: 11, c:11
Node 365, start at 692, n: 13, c:13
Node 366, start at 189, n: 3, c:3
Node 367, start at 698, n: 7, c:7
Node 368, start at 83, n: 5, c:5
Node 369, start at 356, n: 5, c:5
Node 370, start at 635, n: 5, c:5
Node 371, start at 32, n: 5, c:5
Node 372, start at 1000, n: 5, c:5
Node 373, start at 467, n: 5, c:5
Node 374, start at 135, n: 13, c:13
Node 375, start at 429, n: 3, c:3
Node 376, start at 507, n: 5, c:5
Node 377, start at 692, n: 5, c:5
Node 378, start at 170, n: 11, c:11
Node 379, start at 364, n: 3, c:3
Node 380, start at 956, n: 5, c:5
Node 381, start at 433, n: 5, c:5
Node 382, start at 197, n: 3, c:3
Node 383, start at 142, n: 5, c:5
Node 384, start at 177, n: 13, c:13
Node 385, start at 756, n: 11, c:11
Node 386, start at 639, n: 5, c:5
Node 387, start at 642, n: 3, c:3
Node 388, start at 831, n: 13, c:13
Node 389, start at 883, n: 5, c:5
Node 390, start at 309, n: 5, c:5
Node 391, start at 493, n: 5, c:5
Node 392, start at 258, n: 11, c:11
Node 393, start at 714, n: 5, c:5
Node 394, start at 124, n: 3, c:3
Node 395, start at 1000, n: 5, c:5
Node 396, start at 115, n: 5, c:5
Node 397, start at 695, n: 5, c:5
Node 398, start at 990, n: 11, c:11
Node 399, start at 74, n: 3, c:3
Node 400, start at 70, n: 5, c:5
Node 401, start at 568, n: 3, c:3
Node 402, start at 426, n: 3, c:3
Node 403, start at 877, n: 11, c:11
Node 404, start at 345, n: 7, c:7
Node 405, start at 415, n: 13, c:13
Node 406, start at 608, n: 5, c:5
Node 407, start at 647, n: 5, c:5
Node 408, start at 871, n: 5, c:5
Node 409, start at 717, n: 3, c:3
Node 410, start at 794, n: 5, c:5
Node 411, start at 478, n: 7, c:7
Node 412, start at 311, n: 7, c:7
Node 413, start at 787, n: 3, c:3
Node 414, start at 997, n: 5, c:5
Node 415, start at 505, n: 13, c:13
Node 416, start at 519, n: 5, c:5
Node 417, start at 784, n: 3, c:3
Node 418, start at 911, n: 13, c:13
Node 419, start at 289, n: 5, c:5
Node 420, start at 628, n: 3, c:3
Node 421, start at 881, n: 11, c:11
Node 422, start at 922, n: 3, c:3
Node 423, start at 42, n: 3, c:3
Node 424, start at 957, n: 3, c:3
Node 425, start at 630, n: 3, c:3
Node 426, start at 714, n: 3, c:3
Node 427, start at 922, n: 5, c:5
Node 428, start at 494, n: 3, c:3
Node 429, start at 903, n: 3, c:3
Node 430, start at 415, n: 5, c:5
Node 431, start at 485, n: 5, c:5
Node 432, start at 809, n: 5, c:5
Node 433, start at 583, n: 7, c:7
Node 434, start at 893, n: 13, c:13
Node 435, start at 326, n: 3, c:3
Node 436, start at 419, n: 3, c:3
Node 437, start at 931, n: 3, c:3
Node 438, start at 358, n: 13, c:13
Node 439, start at 350, n: 3, c:3
Node 440, start at 158, n: 3, c:3
Node 441, start at 485, n: 13, c:13
Node 442, start at 763, n: 5, c:5
Node 443, start at 448, n: 5, c:5
Node 444, start at 405, n: 11, c:11
Node 445, start at 687, n: 7, c:7
Node 446, start at 322, n: 5, c:5
Node 447, start at 447, n: 5, c:5
Node 448, start at 160, n: 5, c:5
Node 449, start at 594, n: 11, c:11
Node 450, start at 860, n: 3, c:3
Node 451, start at 602, n: 3, c:3
Node 452, start at 594, n: 3, c:3
Node 453, start at 599, n: 5, c:5
Node 454, start at 30, n: 5, c:5
Node 455, start at 980, n: 5, c:5
Node 456, start at 62, n: 3, c:3
Node 457, start at 951, n: 3, c:3
Node 458, start at 472, n: 3, c:3
Node 459, start at 950, n: 5, c:5
Node 460, start at 245, n: 3, c:3
Node 461, start at 351, n: 3, c:3
Node 462, start at 645, n: 5, c:5
Node 463, start at 992, n: 11, c:11
Node 464, start at 579, n: 13, c:13
Node 465, start at 805, n: 11, c:11
Node 466, start at 319, n: 5, c:5
Node 467, start at 29, n: 5, c:5
Node 468, start at 758, n: 7, c:7
Node 469, start at 375, n: 11, c:11
Node 470, start at 450, n: 3, c:3
Node 471, start at 190, n: 5, c:5
Node 472, start at 94, n: 5, c:5
Node 473, start at 758, n: 11, c:11
Node 474, start at 687, n: 5, c:5
Node 475, start at 550, n: 7, c:7
Node 476, start at 1, n: 7, c:7
Node 477, start at 129, n: 3, c:3
Node 478, start at 466, n: 5, c:5
Node 479, start at 277, n: 5, c:5
Node 480, start at 240, n: 3, c:3
Node 481, start at 575, n: 5, c:5
Node 482, start at 564, n: 3, c:3
Node 483, start at 96, n: 5, c:5
Node 484, start at 144, n: 3, c:3
Node 485, start at 263, n: 5, c:5
Node 486, start at 741, n: 5, c:5
Node 487, start at 908, n: 5, c:5
Node 488, start at 366, n: 11, c:11
Node 489, start at 8, n: 5, c:5
Node 490, start at 160, n: 3, c:3
Node 491, start at 526, n: 5, c:5
Node 492, start at 82, n: 3, c:3
Node 493, start at 840, n: 13, c:13
Node 494, start at 186, n: 5, c:5
Node 495, start at 720, n: 7, c:7
Node 496, start at 861, n: 5, c:5
Node 497, start at 747, n: 3, c:3
Node 498, start at 786, n: 5, c:5
Node 499, start at 371, n: 5, c:5
Node 500, start at 868, n: 13, c:13
Node 501, start at 548, n: 5, c:5
Node 502, start at 782, n: 7, c:7
Node 503, start at 396, n: 3, c:3
Node 504, start at 906, n: 7, c:7
Node 505, start at 291, n: 5, c:5
Node 506, start at 522, n: 3, c:3
Node 507, start at 140, n: 5, c:5
Node 508, start at 433, n: 5, c:5
Node 509, start at 466, n: 5, c:5
Node 510, start at 409, n: 3, c:3
Node 511, start at 753, n: 3, c:3
Node 512, start at 781, n: 13, c:13
Node 513, start at 585, n: 3, c:3
Node 514, start at 873, n: 5, c:5
Node 515, start at 736, n: 7, c:7
Node 516, start at 940, n: 13, c:13
Node 517, start at 947, n: 3, c:3
Node 518, start at 548, n: 5, c:5
Node 519, start at 571, n: 3, c:3
Node 520, start at 933, n: 5, c:5
Node 521, start at 731, n: 3, c:3
Node 522, start at 319, n: 3, c:3
Node 523, start at 110, n: 5, c:5
Node 524, start at 580, n: 7, c:7
Node 525, start at 687, n: 5, c:5
Node 526, start at 342, n: 7, c:7
Node 527, start at 788, n: 5, c:5
Node 528, start at 286, n: 11, c:11
Node 529, start at 469, n: 5, c:5
Node 530, start at 318, n: 5, c:5
Node 531, start at 81, n: 5, c:5
Node 532, start at 889, n: 11, c:11
Node 533, start at 944, n: 7, c:7
Node 534, start at 944, n: 3, c:3
Node 535, start at 672, n: 3, c:3
Node 536, start at 979, n: 3, c:3
Node 537, start at 383, n: 3, c:3
Node 538, start at 733, n: 5, c:5
Node 539, start at 904, n: 5, c:5
Node 540, start at 515, n: 5, c:5
Node 541, start at 563, n: 11, c:11
Node 542, start at 353, n: 5, c:5
Node 543, start at 851, n: 5, c:5
Node 544, start at 208, n: 13, c:13
Node 545, start at 766, n: 11, c:11
Node 546, start at 39, n: 3, c:3
Node 547, start at 4, n: 3, c:3
Node 548, start at 663, n: 5, c:5
Node 549, start at 798, n: 7, c:7
Node 550, start at 729, n: 5, c:5
Node 551, start at 796, n: 13, c:13
Node 552, start at 950, n: 3, c:3
Node 553, start at 336, n: 7, c:7
Node 554, start at 905, n: 3, c:3
Node 555, start at 908, n: 5, c:5
Node 556, start at 363, n: 11, c:11
Node 557, start at 885, n: 5, c:5
Node 558, start at 323, n: 3, c:3
Node 559, start at 168, n: 7, c:7
Node 560, start at 116, n: 5, c:5
Node 561, start at 129, n: 3, c:3
Node 562, start at 546, n: 13, c:13
Node 563, start at 718, n: 5, c:5
Node 564, start at 916, n: 5, c:5
Node 565, start at 554, n: 7, c:7
Node 566, start at 943, n: 13, c:13
Node 567, start at 728, n: 3, c:3
Node 568, start at 669, n: 7, c:7
Node 569, start at 770, n: 3, c:3
Node 570, start at 411, n: 3, c:3
Node 571, start at 664, n: 3, c:3
Node 572, start at 199, n: 11, c:11
Node 573, start at 905, n: 13, c:13
Node 574, start at 227, n: 3, c:3
Node 575, start at 886, n: 3, c:3
Node 576, start at 910, n: 13, c:13
Node 577, start at 670, n: 11, c:11
Node 578, start at 477, n: 3, c:3
Node 579, start at 455, n: 13, c:13
Node 580, start at 699, n: 3, c:3
Node 581, start at 721, n: 7, c:7
Node 582, start at 112, n: 5, c:5
Node 583, start at 185, n: 13, c:13
Node 584, start at 935, n: 13, c:13
Node 585, start at 227, n: 5, c:5
Node 586, start at 742, n: 3, c:3
Node 587, start at 70, n: 7, c:7
Node 588, start at 805, n: 13, c:13
Node 589, start at 125, n: 7, c:7
Node 590, start at 682, n: 5, c:5
Node 591, start at 905, n: 3, c:3
Node 592, start at 832, n: 5, c:5
Node 593, start at 334, n: 5, c:5
Node 594, start at 89, n: 3, c:3
Node 595, start at 244, n: 3, c:3
Node 596, start at 282, n: 3, c:3
Node 597, start at 195, n: 5, c:5
Node 598, start at 251, n: 3, c:3
Node 599, start at 187, n: 11, c:11
Node 600, start at 581, n: 11, c:11
Node 601, start at 14, n: 13, c:13
Node 602, start at 829, n: 5, c:5
Node 603, start at 977, n: 5, c:5
Node 604, start at 946, n: 3, c:3
Node 605, start at 572, n: 5, c:5
Node 606, start at 710, n: 5, c:5
Node 607, start at 297, n: 5, c:5
Node 608, start at 549, n: 3, c:3
Node 609, start at 594, n: 3, c:3
Node 610, start at 636, n: 5, c:5
Node 611, start at 954, n: 3, c:3
Node 612, start at 521, n: 5, c:5
Node 613, start at 987, n: 3, c:3
Node 614, start at 341, n: 5, c:5
Node 615, start at 313, n: 5, c:5
Node 616, start at 262, n: 3, c:3
Node 617, start at 301, n: 3, c:3
Node 618, start at 852, n: 11, c:11
Node 619, start at 288, n: 7, c:7
Node 620, start at 407, n: 7, c:7
Node 621, start at 14, n: 5, c:5
Node 622, start at 157, n: 11, c:11
Node 623, start at 261, n: 7, c:7
Node 624, start at 648, n: 13, c:13
Node 625, start at 988, n: 3, c:3
Node 626, start at 950, n: 13, c:13
Node 627, start at 998, n: 5, c:5
Node 628, start at 685, n: 3, c:3
Node 629, start at 282, n: 5, c:5
Node 630, start at 639, n: 13, c:13
Node 631, start at 5, n: 3, c:3
Node 632, start at 138, n: 3, c:3
Node 633, start at 982, n: 5, c:5
Node 634, start at 444, n: 5, c:5
Node 635, start at 859, n: 5, c:5
Node 636, start at 682, n: 7, c:7
Node 637, start at 910, n: 5, c:5
Node 638, start at 100, n: 3, c:3
Node 639, start at 695, n: 5, c:5
Node 640, start at 197, n: 3, c:3
Node 641, start at 749, n: 3, c:3
Node 642, start at 364, n: 3, c:3
Node 643, start at 324, n: 5, c:5
Node 644, start at 812, n: 7, c:7
Node 645, start at 751, n: 3, c:3
Node 646, start at 827, n: 13, c:13
Node 647, start at 420, n: 11, c:11
Node 648, start at 666, n: 13, c:13
Node 649, start at 689, n: 5, c:5
Node 650, start at 944, n: 11, c:11
Node 651, start at 99, n: 3, c:3
Node 652, start at 185, n: 3, c:3
Node 653, start at 757, n: 5, c:5
Node 654, start at 137, n: 5, c:5
Node 655, start at 430, n: 3, c:3
Node 656, start at 225, n: 3, c:3
Node 657, start at 946, n: 3, c:3
Node 658, start at 808, n: 5, c:5
Node 659, start at 731, n: 13, c:13
Node 660, start at 813, n: 3, c:3
Node 661, start at 249, n: 5, c:5
Node 662, start at 354, n: 5, c:5
Node 663, start at 860, n: 11, c:11
Node 664, start at 849, n: 5, c:5
Node 665, start at 338, n: 3, c:3
Node 666, start at 656, n: 5, c:5
Node 667, start at 409, n: 5, c:5
Node 668, start at 219, n: 7, c:7
Node 669, start at 73, n: 7, c:7
Node 670, start at 653, n: 13, c:13
Node 671, start at 748, n: 5, c:5
Node 672, start at 622, n: 5, c:5
Node 673, start at 699, n: 5, c:5
Node 674, start at 52, n: 5, c:5
Node 675, start at 550, n: 3, c:3
Node 676, start at 787, n: 3, c:3
Node 677, start at 488, n: 3, c:3
Node 678, start at 412, n: 7, c:7
Node 679, start at 421, n: 5, c:5
Node 680, start at 984, n: 5, c:5
Node 681, start at 50, n: 11, c:11
Node 682, start at 99, n: 13, c:13
Node 683, start at 30, n: 3, c:3
Node 684, start at 481, n: 3, c:3
Node 685, start at 960, n: 5, c:5
Node 686, start at 675, n: 3, c:3
Node 687, start at 151, n: 13, c:13
Node 688, start at 335, n: 5, c:5
Node 689, start at 81, n: 13, c:13
Node 690, start at 462, n: 3, c:3
Node 691, start at 441, n: 5, c:5
Node 692, start at 186, n: 7, c:7
Node 693, start at 853, n: 3, c:3
Node 694, start at 281, n: 5, c:5
Node 695, start at 617, n: 7, c:7
Node 696, start at 423, n: 7, c:7
Node 697, start at 449, n: 13, c:13
Node 698, start at 711, n: 11, c:11
Node 699, start at 734, n: 3, c:3
Node 700, start at 908, n: 5, c:5
Node 701, start at 172, n: 11, c:11
Node 702, start at 221, n: 13, c:13
Node 703, start at 192, n: 11, c:11
Node 704, start at 736, n: 3, c:3
Node 705, start at 96, n: 13, c:13
Node 706, start at 909, n: 13, c:13
Node 707, start at 729, n: 5, c:5
Node 708, start at 896, n: 3, c:3
Node 709, start at 419, n: 3, c:3
Node 710, start at 734, n: 5, c:5
Node 711, start at 757, n: 5, c:5
Node 712, start at 539, n: 3, c:3
Node 713, start at 675, n: 3, c:3
Node 714, start at 99, n: 3, c:3
Node 715, start at 333, n: 3, c:3
Node 716, start at 624, n: 11, c:11
Node 717, start at 994, n: 5, c:5
Node 718, start at 121, n: 7, c:7
Node 719, start at 644, n: 3, c:3
Node 720, start at 373, n: 7, c:7
Node 721, start at 651, n: 3, c:3
Node 722, start at 560, n: 3, c:3
Node 723, start at 854, n: 13, c:13
Node 724, start at 352, n: 5, c:5
Node 725, start at 132, n: 13, c:13
Node 726, start at 649, n: 7, c:7
Node 727, start at 746, n: 3, c:3
Node 728, start at 70, n: 5, c:5
Node 729, start at 451, n: 13, c:13
Node 730, start at 172, n: 5, c:5
Node 731, start at 540, n: 3, c:3
Node 732, start at 650, n: 3, c:3
Node 733, start at 510, n: 3, c:3
Node 734, start at 171, n: 7, c:7
