Node 0, start at 131, c: 11
Node 91, start at 778, c: 7
Node 92, start at 466, c: 5
Node 93, start at 380, c: 7
Node 94, start at 820, c: 5
Node 95, start at 560, c: 11
Node 96, start at 518, c: 13
Node 97, start at 140, c: 5
Node 98, start at 437, c: 7
Node 99, start at 44, c: 7
Node 100, start at 819, c: 3
Node 101, start at 732, c: 13
Node 102, start at 606, c: 7
Node 103, start at 843, c: 3
Node 104, start at 796, c: 7
Node 105, start at 709, c: 13
Node 106, start at 974, c: 5
Node 107, start at 163, c: 13
Node 108, start at 213, c: 19
Node 109, start at 48, c: 19
Node 110, start at 136, c: 13
Node 111, start at 366, c: 7
Node 112, start at 660, c: 7
Node 113, start at 849, c: 5
Node 114, start at 646, c: 5
Node 115, start at 287, c: 3
Node 116, start at 587, c: 13
Node 117, start at 939, c: 7
Node 118, start at 596, c: 19
Node 119, start at 654, c: 11
Node 120, start at 714, c: 7
Node 121, start at 495, c: 19
Node 122, start at 905, c: 19
Node 123, start at 974, c: 3
Node 124, start at 233, c: 19
Node 125, start at 221, c: 13
Node 126, start at 421, c: 19
Node 127, start at 72, c: 3
Node 128, start at 953, c: 11
Node 129, start at 719, c: 5
Node 130, start at 719, c: 5
Node 131, start at 110, c: 7
Node 132, start at 405, c: 5
Node 133, start at 70, c: 5
Node 134, start at 128, c: 7
Node 135, start at 953, c: 11
Node 136, start at 786, c: 3
Node 137, start at 900, c: 7
Node 138, start at 931, c: 11
Node 139, start at 899, c: 5
Node 140, start at 151, c: 5
Node 141, start at 106, c: 5
Node 142, start at 732, c: 3
Node 143, start at 612, c: 19
Node 144, start at 278, c: 11
Node 145, start at 332, c: 5
Node 146, start at 111, c: 19
Node 147, start at 119, c: 5
Node 148, start at 723, c: 3
Node 149, start at 63, c: 7
Node 150, start at 862, c: 3
Node 151, start at 443, c: 5
Node 152, start at 147, c: 13
Node 153, start at 251, c: 11
Node 154, start at 939, c: 5
Node 155, start at 561, c: 3
Node 156, start at 67, c: 5
Node 157, start at 783, c: 3
Node 158, start at 818, c: 5
Node 159, start at 991, c: 11
Node 160, start at 212, c: 13
Node 161, start at 783, c: 5
Node 162, start at 926, c: 3
Node 163, start at 94, c: 7
Node 164, start at 756, c: 5
Node 165, start at 511, c: 5
Node 166, start at 141, c: 3
Node 167, start at 812, c: 19
Node 168, start at 731, c: 13
Node 169, start at 767, c: 11
Node 170, start at 102, c: 11
Node 171, start at 640, c: 3
Node 172, start at 662, c: 19
Node 173, start at 698, c: 13
Node 174, start at 631, c: 7
Node 175, start at 253, c: 5
Node 176, start at 645, c: 11
Node 177, start at 477, c: 7
Node 178, start at 265, c: 5
Node 179, start at 130, c: 7
Node 180, start at 613, c: 7
Node 181, start at 875, c: 5
Node 182, start at 460, c: 7
Node 183, start at 567, c: 19
Node 184, start at 506, c: 7
Node 185, start at 137, c: 5
Node 186, start at 218, c: 3
Node 187, start at 680, c: 5
Node 188, start at 56, c: 11
Node 189, start at 473, c: 19
Node 190, start at 460, c: 5
Node 191, start at 245, c: 5
Node 192, start at 749, c: 19
Node 193, start at 729, c: 3
Node 194, start at 914, c: 7
Node 195, start at 108, c: 11
Node 196, start at 440, c: 13
Node 197, start at 138, c: 11
Node 198, start at 361, c: 5
Node 199, start at 356, c: 13
Node 200, start at 175, c: 5
Node 201, start at 358, c: 5
Node 202, start at 779, c: 7
Node 203, start at 479, c: 7
Node 204, start at 446, c: 11
Node 205, start at 124, c: 5
Node 206, start at 311, c: 7
Node 207, start at 119, c: 7
Node 208, start at 822, c: 7
Node 209, start at 563, c: 3
Node 210, start at 402, c: 5
Node 211, start at 275, c: 13
Node 212, start at 875, c: 13
Node 213, start at 452, c: 13
Node 214, start at 124, c: 3
Node 215, start at 237, c: 19
Node 216, start at 793, c: 5
Node 217, start at 612, c: 5
Node 218, start at 908, c: 7
Node 219, start at 656, c: 7
Node 220, start at 157, c: 5
Node 221, start at 218, c: 5
Node 222, start at 422, c: 13
Node 223, start at 522, c: 5
Node 224, start at 687, c: 13
Node 225, start at 929, c: 11
Node 226, start at 364, c: 3
Node 227, start at 420, c: 5
Node 228, start at 343, c: 11
Node 229, start at 926, c: 11
Node 230, start at 260, c: 3
Node 231, start at 440, c: 5
Node 232, start at 964, c: 5
Node 233, start at 514, c: 7
Node 234, start at 152, c: 3
Node 235, start at 570, c: 5
Node 236, start at 48, c: 3
Node 237, start at 797, c: 5
Node 238, start at 696, c: 5
Node 239, start at 265, c: 11
Node 240, start at 80, c: 7
Node 241, start at 253, c: 7
Node 242, start at 114, c: 7
Node 243, start at 337, c: 11
Node 244, start at 675, c: 3
Node 245, start at 280, c: 7
Node 246, start at 151, c: 3
Node 247, start at 61, c: 13
Node 248, start at 202, c: 13
Node 249, start at 61, c: 19
Node 250, start at 96, c: 7
Node 251, start at 487, c: 5
Node 252, start at 51, c: 13
Node 253, start at 0, c: 7
Node 254, start at 358, c: 5
Node 255, start at 626, c: 13
Node 256, start at 424, c: 19
Node 257, start at 24, c: 7
Node 258, start at 885, c: 5
Node 259, start at 190, c: 5
Node 260, start at 381, c: 13
Node 261, start at 848, c: 3
Node 262, start at 130, c: 11
Node 263, start at 140, c: 19
Node 264, start at 692, c: 13
Node 265, start at 604, c: 3
Node 266, start at 443, c: 7
Node 267, start at 593, c: 7
Node 268, start at 389, c: 19
Node 269, start at 776, c: 5
Node 270, start at 198, c: 7
Node 271, start at 80, c: 7
Node 272, start at 325, c: 13
Node 273, start at 185, c: 5
Node 274, start at 544, c: 7
Node 275, start at 811, c: 7
Node 276, start at 339, c: 11
Node 277, start at 256, c: 19
Node 278, start at 83, c: 19
Node 279, start at 761, c: 7
Node 280, start at 171, c: 5
Node 281, start at 886, c: 5
Node 282, start at 230, c: 5
Node 283, start at 518, c: 5
Node 284, start at 354, c: 7
Node 285, start at 386, c: 13
Node 286, start at 127, c: 7
Node 287, start at 384, c: 13
Node 288, start at 821, c: 5
Node 289, start at 629, c: 5
Node 290, start at 659, c: 3
Node 291, start at 206, c: 5
Node 292, start at 28, c: 5
Node 293, start at 139, c: 5
Node 294, start at 922, c: 5
Node 295, start at 605, c: 3
Node 296, start at 633, c: 3
Node 297, start at 497, c: 7
Node 298, start at 415, c: 5
Node 299, start at 301, c: 3
Node 300, start at 892, c: 5
Node 301, start at 725, c: 13
Node 302, start at 665, c: 5
Node 303, start at 96, c: 19
Node 304, start at 33, c: 7
Node 305, start at 231, c: 13
Node 306, start at 202, c: 5
Node 307, start at 214, c: 5
Node 308, start at 249, c: 13
Node 309, start at 414, c: 19
Node 310, start at 94, c: 7
Node 311, start at 143, c: 5
Node 312, start at 389, c: 7
Node 313, start at 93, c: 3
Node 314, start at 861, c: 5
Node 315, start at 430, c: 3
Node 316, start at 107, c: 19
Node 317, start at 961, c: 7
Node 318, start at 294, c: 5
Node 319, start at 202, c: 19
Node 320, start at 526, c: 7
Node 321, start at 782, c: 19
Node 322, start at 769, c: 13
Node 323, start at 624, c: 5
Node 324, start at 423, c: 13
Node 325, start at 944, c: 19
Node 326, start at 10, c: 5
Node 327, start at 58, c: 5
Node 328, start at 677, c: 13
Node 329, start at 251, c: 5
Node 330, start at 421, c: 7
Node 331, start at 925, c: 11
Node 332, start at 149, c: 5
Node 333, start at 399, c: 7
Node 334, start at 752, c: 7
Node 335, start at 361, c: 19
Node 336, start at 200, c: 5
Node 337, start at 235, c: 3
Node 338, start at 936, c: 5
Node 339, start at 690, c: 7
Node 340, start at 642, c: 5
Node 341, start at 627, c: 5
Node 342, start at 716, c: 5
Node 343, start at 256, c: 11
Node 344, start at 320, c: 7
Node 345, start at 731, c: 3
Node 346, start at 972, c: 11
Node 347, start at 527, c: 11
Node 348, start at 502, c: 5
Node 349, start at 832, c: 13
Node 350, start at 870, c: 5
Node 351, start at 729, c: 5
Node 352, start at 871, c: 19
Node 353, start at 390, c: 11
Node 354, start at 559, c: 11
Node 355, start at 738, c: 7
Node 356, start at 90, c: 7
Node 357, start at 643, c: 5
Node 358, start at 402, c: 5
Node 359, start at 351, c: 7
Node 360, start at 541, c: 5
Node 361, start at 432, c: 5
Node 362, start at 785, c: 5
Node 363, start at 974, c: 5
Node 364, start at 626, c: 3
Node 365, start at 214, c: 3
Node 366, start at 67, c: 5
Node 367, start at 160, c: 11
Node 368, start at 232, c: 5
Node 369, start at 72, c: 19
Node 370, start at 67, c: 11
Node 371, start at 513, c: 5
Node 372, start at 479, c: 11
Node 373, start at 447, c: 7
Node 374, start at 816, c: 5
Node 375, start at 503, c: 3
Node 376, start at 173, c: 11
Node 377, start at 753, c: 5
Node 378, start at 544, c: 13
Node 379, start at 451, c: 11
Node 380, start at 648, c: 3
Node 381, start at 307, c: 5
Node 382, start at 127, c: 13
Node 383, start at 942, c: 7
Node 384, start at 605, c: 7
Node 385, start at 267, c: 7
Node 386, start at 393, c: 5
Node 387, start at 286, c: 7
Node 388, start at 111, c: 3
Node 389, start at 86, c: 5
Node 390, start at 7, c: 5
Node 391, start at 937, c: 3
Node 392, start at 114, c: 5
Node 393, start at 334, c: 7
Node 394, start at 398, c: 5
Node 395, start at 188, c: 5
Node 396, start at 497, c: 7
Node 397, start at 423, c: 5
Node 398, start at 730, c: 7
Node 399, start at 991, c: 7
Node 400, start at 693, c: 19
Node 401, start at 777, c: 7
Node 402, start at 184, c: 13
Node 403, start at 425, c: 3
Node 404, start at 261, c: 7
Node 405, start at 788, c: 19
Node 406, start at 393, c: 3
Node 407, start at 834, c: 7
Node 408, start at 18, c: 13
Node 409, start at 171, c: 13
Node 410, start at 389, c: 3
Node 411, start at 823, c: 7
Node 412, start at 308, c: 5
Node 413, start at 994, c: 7
Node 414, start at 964, c: 11
Node 415, start at 16, c: 7
Node 416, start at 371, c: 7
Node 417, start at 942, c: 5
Node 418, start at 527, c: 3
Node 419, start at 545, c: 5
Node 420, start at 262, c: 7
Node 421, start at 981, c: 7
Node 422, start at 878, c: 19
Node 423, start at 429, c: 3
Node 424, start at 78, c: 5
Node 425, start at 839, c: 7
Node 426, start at 696, c: 7
Node 427, start at 203, c: 5
Node 428, start at 556, c: 13
Node 429, start at 816, c: 19
Node 430, start at 224, c: 11
Node 431, start at 182, c: 3
Node 432, start at 554, c: 11
Node 433, start at 865, c: 3
Node 434, start at 643, c: 7
Node 435, start at 828, c: 11
Node 436, start at 839, c: 5
Node 437, start at 225, c: 3
Node 438, start at 899, c: 13
Node 439, start at 729, c: 5
Node 440, start at 179, c: 13
Node 441, start at 771, c: 5
Node 442, start at 422, c: 7
Node 443, start at 200, c: 5
Node 444, start at 432, c: 13
Node 445, start at 540, c: 13
Node 446, start at 874, c: 19
Node 447, start at 211, c: 11
Node 448, start at 621, c: 5
Node 449, start at 819, c: 7
Node 450, start at 343, c: 13
Node 451, start at 773, c: 5
Node 452, start at 883, c: 19
Node 453, start at 837, c: 7
Node 454, start at 625, c: 5
Node 455, start at 998, c: 5
Node 456, start at 204, c: 19
Node 457, start at 288, c: 7
Node 458, start at 325, c: 7
Node 459, start at 14, c: 5
Node 460, start at 555, c: 7
Node 461, start at 962, c: 5
Node 462, start at 318, c: 7
Node 463, start at 371, c: 7
Node 464, start at 277, c: 7
Node 465, start at 515, c: 19
Node 466, start at 375, c: 19
Node 467, start at 30, c: 19
Node 468, start at 613, c: 5
Node 469, start at 546, c: 7
Node 470, start at 943, c: 19
Node 471, start at 199, c: 19
Node 472, start at 195, c: 5
Node 473, start at 108, c: 5
Node 474, start at 820, c: 19
Node 475, start at 935, c: 11
Node 476, start at 525, c: 11
Node 477, start at 319, c: 5
Node 478, start at 142, c: 13
Node 479, start at 55, c: 13
Node 480, start at 88, c: 5
Node 481, start at 928, c: 11
Node 482, start at 515, c: 11
Node 483, start at 851, c: 19
Node 484, start at 582, c: 11
Node 485, start at 299, c: 7
Node 486, start at 321, c: 5
Node 487, start at 338, c: 5
Node 488, start at 290, c: 11
Node 489, start at 544, c: 19
Node 490, start at 64, c: 11
Node 491, start at 352, c: 5
Node 492, start at 833, c: 5
Node 493, start at 944, c: 7
Node 494, start at 182, c: 5
Node 495, start at 477, c: 7
Node 496, start at 232, c: 11
Node 497, start at 82, c: 7
Node 498, start at 959, c: 7
Node 499, start at 988, c: 5
Node 500, start at 226, c: 19
Node 501, start at 215, c: 3
Node 502, start at 401, c: 5
Node 503, start at 413, c: 5
Node 504, start at 953, c: 11
Node 505, start at 25, c: 5
Node 506, start at 359, c: 3
Node 507, start at 43, c: 5
Node 508, start at 756, c: 7
Node 509, start at 165, c: 7
Node 510, start at 89, c: 5
Node 511, start at 667, c: 13
Node 512, start at 476, c: 5
Node 513, start at 895, c: 7
Node 514, start at 526, c: 5
Node 515, start at 454, c: 5
Node 516, start at 408, c: 5
Node 517, start at 361, c: 19
Node 518, start at 661, c: 7
Node 519, start at 121, c: 5
Node 520, start at 736, c: 11
Node 521, start at 575, c: 11
Node 522, start at 499, c: 5
Node 523, start at 82, c: 19
Node 524, start at 686, c: 5
Node 525, start at 720, c: 19
Node 526, start at 305, c: 5
Node 527, start at 616, c: 13
Node 528, start at 396, c: 5
Node 529, start at 532, c: 3
Node 530, start at 870, c: 13
Node 531, start at 841, c: 19
Node 532, start at 938, c: 7
Node 533, start at 297, c: 3
Node 534, start at 587, c: 7
Node 535, start at 541, c: 3
Node 536, start at 0, c: 5
Node 537, start at 992, c: 3
Node 538, start at 0, c: 19
Node 539, start at 450, c: 7
Node 540, start at 40, c: 3
Node 541, start at 78, c: 5
Node 542, start at 275, c: 7
Node 543, start at 847, c: 19
Node 544, start at 857, c: 5
Node 545, start at 538, c: 13
Node 546, start at 626, c: 5
Node 547, start at 679, c: 7
Node 548, start at 444, c: 5
Node 549, start at 345, c: 11
Node 550, start at 793, c: 5
Node 551, start at 994, c: 5
Node 552, start at 678, c: 5
Node 553, start at 707, c: 13
Node 554, start at 69, c: 19
Node 555, start at 16, c: 19
Node 556, start at 515, c: 11
Node 557, start at 659, c: 5
Node 558, start at 742, c: 7
Node 559, start at 937, c: 5
Node 560, start at 723, c: 7
Node 561, start at 449, c: 3
Node 562, start at 855, c: 19
Node 563, start at 868, c: 19
Node 564, start at 707, c: 7
Node 565, start at 0, c: 7
Node 566, start at 160, c: 7
Node 567, start at 766, c: 5
Node 568, start at 794, c: 5
Node 569, start at 954, c: 7
Node 570, start at 297, c: 5
Node 571, start at 832, c: 7
Node 572, start at 841, c: 5
Node 573, start at 33, c: 7
Node 574, start at 530, c: 5
Node 575, start at 951, c: 7
Node 576, start at 682, c: 3
Node 577, start at 451, c: 19
Node 578, start at 847, c: 5
Node 579, start at 961, c: 7
Node 580, start at 462, c: 13
Node 581, start at 982, c: 13
Node 582, start at 804, c: 5
Node 583, start at 500, c: 13
Node 584, start at 364, c: 5
Node 585, start at 996, c: 3
Node 586, start at 211, c: 5
Node 587, start at 530, c: 7
Node 588, start at 616, c: 13
Node 589, start at 669, c: 7
Node 590, start at 364, c: 19
Node 591, start at 269, c: 11
Node 592, start at 973, c: 13
Node 593, start at 262, c: 13
Node 594, start at 391, c: 5
Node 595, start at 515, c: 13
Node 596, start at 62, c: 5
Node 597, start at 405, c: 5
Node 598, start at 896, c: 3
Node 599, start at 918, c: 7
Node 600, start at 992, c: 5
Node 601, start at 88, c: 3
Node 602, start at 826, c: 5
Node 603, start at 202, c: 19
Node 604, start at 473, c: 7
Node 605, start at 559, c: 3
Node 606, start at 772, c: 5
Node 607, start at 409, c: 13
Node 608, start at 802, c: 7
Node 609, start at 622, c: 11
Node 610, start at 347, c: 5
Node 611, start at 154, c: 13
Node 612, start at 670, c: 3
Node 613, start at 841, c: 7
Node 614, start at 262, c: 19
Node 615, start at 548, c: 5
Node 616, start at 836, c: 5
Node 617, start at 702, c: 5
Node 618, start at 448, c: 5
Node 619, start at 851, c: 3
Node 620, start at 361, c: 7
Node 621, start at 407, c: 19
Node 622, start at 875, c: 7
Node 623, start at 134, c: 13
Node 624, start at 41, c: 3
Node 625, start at 378, c: 5
Node 626, start at 232, c: 5
Node 627, start at 871, c: 7
Node 628, start at 913, c: 19
Node 629, start at 236, c: 5
Node 630, start at 502, c: 13
Node 631, start at 643, c: 13
Node 632, start at 73, c: 7
Node 633, start at 503, c: 19
Node 634, start at 678, c: 5
Node 635, start at 884, c: 7
Node 636, start at 223, c: 3
Node 637, start at 290, c: 13
Node 638, start at 22, c: 11
Node 639, start at 857, c: 7
Node 640, start at 826, c: 5
Node 641, start at 137, c: 5
Node 642, start at 885, c: 7
Node 643, start at 440, c: 19
Node 644, start at 567, c: 19
Node 645, start at 992, c: 3
Node 646, start at 936, c: 11
Node 647, start at 559, c: 3
Node 648, start at 638, c: 13
Node 649, start at 975, c: 3
Node 650, start at 865, c: 5
Node 651, start at 997, c: 5
Node 652, start at 699, c: 7
Node 653, start at 615, c: 5
Node 654, start at 283, c: 5
Node 655, start at 862, c: 13
Node 656, start at 691, c: 5
Node 657, start at 613, c: 5
Node 658, start at 407, c: 11
Node 659, start at 552, c: 5
Node 660, start at 363, c: 5
Node 661, start at 975, c: 19
Node 662, start at 785, c: 3
Node 663, start at 385, c: 5
Node 664, start at 472, c: 11
Node 665, start at 875, c: 13
Node 666, start at 696, c: 19
Node 667, start at 926, c: 11
Node 668, start at 560, c: 5
Node 669, start at 220, c: 5
Node 670, start at 112, c: 7
Node 671, start at 426, c: 7
Node 672, start at 499, c: 5
Node 673, start at 550, c: 7
Node 674, start at 719, c: 7
Node 675, start at 203, c: 5
Node 676, start at 258, c: 13
Node 677, start at 130, c: 11
Node 678, start at 500, c: 11
Node 679, start at 523, c: 5
Node 680, start at 219, c: 5
Node 681, start at 871, c: 13
Node 682, start at 289, c: 7
Node 683, start at 638, c: 5
Node 684, start at 193, c: 5
Node 685, start at 780, c: 5
Node 686, start at 510, c: 5
Node 687, start at 831, c: 5
Node 688, start at 974, c: 5
Node 689, start at 88, c: 7
Node 690, start at 789, c: 5
Node 691, start at 664, c: 5
Node 692, start at 435, c: 5
Node 693, start at 691, c: 3
Node 694, start at 574, c: 5
Node 695, start at 868, c: 5
Node 696, start at 637, c: 3
Node 697, start at 554, c: 3
Node 698, start at 308, c: 3
Node 699, start at 856, c: 7
Node 700, start at 235, c: 5
Node 701, start at 897, c: 3
Node 702, start at 911, c: 3
Node 703, start at 858, c: 3
Node 704, start at 50, c: 13
Node 705, start at 634, c: 3
Node 706, start at 432, c: 11
Node 707, start at 328, c: 19
Node 708, start at 202, c: 7
Node 709, start at 675, c: 7
Node 710, start at 806, c: 11
Node 711, start at 222, c: 7
Node 712, start at 496, c: 5
Node 713, start at 528, c: 7
Node 714, start at 443, c: 13
Node 715, start at 177, c: 5
Node 716, start at 810, c: 11
Node 717, start at 271, c: 5
Node 718, start at 943, c: 5
Node 719, start at 554, c: 19
Node 720, start at 796, c: 19
Node 721, start at 351, c: 7
Node 722, start at 375, c: 19
Node 723, start at 256, c: 7
Node 724, start at 937, c: 5
Node 725, start at 219, c: 19
Node 726, start at 503, c: 7
Node 727, start at 133, c: 5
Node 728, start at 529, c: 13
Node 729, start at 675, c: 7
Node 730, start at 966, c: 13
Node 731, start at 662, c: 7
Node 732, start at 87, c: 7
Node 733, start at 600, c: 13
Node 734, start at 326, c: 3
Node 735, start at 7, c: 5
Node 736, start at 691, c: 5
Node 737, start at 695, c: 7
Node 738, start at 161, c: 3
Node 739, start at 74, c: 5
Node 740, start at 460, c: 19
Node 741, start at 839, c: 5
Node 742, start at 561, c: 7
Node 743, start at 729, c: 5
Node 744, start at 863, c: 3
Node 745, start at 441, c: 5
Node 746, start at 739, c: 19
Node 747, start at 412, c: 13
Node 748, start at 595, c: 5
Node 749, start at 900, c: 7
Node 750, start at 557, c: 7
Node 751, start at 135, c: 5
Node 752, start at 174, c: 7
Node 753, start at 447, c: 5
Node 754, start at 706, c: 7
Node 755, start at 319, c: 5
Node 756, start at 248, c: 11
Node 757, start at 153, c: 7
Node 758, start at 380, c: 7
Node 759, start at 600, c: 5
Node 760, start at 566, c: 5
Node 761, start at 364, c: 5
Node 762, start at 388, c: 5
Node 763, start at 694, c: 19
Node 764, start at 545, c: 7
Node 765, start at 747, c: 11
Node 766, start at 473, c: 5
Node 767, start at 481, c: 5
Node 768, start at 746, c: 11
Node 769, start at 600, c: 13
Node 770, start at 977, c: 7
Node 771, start at 301, c: 19
Node 772, start at 738, c: 5
Node 773, start at 847, c: 7
Node 774, start at 114, c: 11
Node 775, start at 619, c: 7
Node 776, start at 233, c: 3
Node 777, start at 97, c: 5
Node 778, start at 469, c: 5
Node 779, start at 975, c: 5
Node 780, start at 887, c: 5
Node 781, start at 941, c: 11
Node 782, start at 962, c: 19
Node 783, start at 134, c: 7
Node 784, start at 750, c: 11
Node 785, start at 903, c: 7
Node 786, start at 58, c: 11
Node 787, start at 232, c: 5
Node 788, start at 197, c: 19
Node 789, start at 960, c: 5
Node 790, start at 800, c: 5
Node 791, start at 582, c: 7
Node 792, start at 385, c: 7
Node 793, start at 732, c: 11
Node 794, start at 356, c: 7
Node 795, start at 219, c: 5
Node 796, start at 341, c: 19
Node 797, start at 912, c: 11
Node 798, start at 39, c: 7
Node 799, start at 308, c: 7
Node 800, start at 345, c: 7
Node 801, start at 131, c: 13
Node 802, start at 720, c: 5
Node 803, start at 400, c: 3
Node 804, start at 409, c: 11
Node 805, start at 416, c: 19
Node 806, start at 745, c: 7
Node 807, start at 830, c: 5
Node 808, start at 680, c: 19
Node 809, start at 883, c: 3
Node 810, start at 21, c: 13
Node 811, start at 226, c: 13
Node 812, start at 874, c: 13
Node 813, start at 917, c: 19
Node 814, start at 490, c: 3
Node 815, start at 59, c: 5
Node 816, start at 12, c: 3
Node 817, start at 76, c: 5
Node 818, start at 675, c: 11
Node 819, start at 383, c: 5
Node 820, start at 717, c: 11
Node 821, start at 307, c: 5
Node 822, start at 629, c: 5
Node 823, start at 987, c: 5
Node 824, start at 567, c: 19
Node 825, start at 658, c: 7
Node 826, start at 260, c: 11
Node 827, start at 773, c: 7
Node 828, start at 90, c: 3
Node 829, start at 563, c: 3
Node 830, start at 256, c: 7
Node 831, start at 131, c: 13
Node 832, start at 496, c: 11
Node 833, start at 49, c: 5
Node 834, start at 173, c: 7
Node 835, start at 937, c: 5
Node 836, start at 126, c: 11
Node 837, start at 427, c: 5
Node 838, start at 448, c: 5
Node 839, start at 661, c: 19
Node 840, start at 135, c: 5
Node 841, start at 222, c: 11
Node 842, start at 962, c: 5
Node 843, start at 821, c: 5
Node 844, start at 405, c: 5
Node 845, start at 795, c: 11
Node 846, start at 562, c: 7
Node 847, start at 129, c: 13
Node 848, start at 930, c: 5
Node 849, start at 932, c: 5
Node 850, start at 914, c: 5
Node 851, start at 734, c: 19
Node 852, start at 583, c: 5
Node 853, start at 119, c: 7
Node 854, start at 756, c: 19
Node 855, start at 441, c: 19
Node 856, start at 801, c: 7
Node 857, start at 65, c: 3
Node 858, start at 335, c: 5
Node 859, start at 343, c: 5
Node 860, start at 616, c: 19
Node 861, start at 112, c: 19
Node 862, start at 264, c: 11
Node 863, start at 122, c: 19
Node 864, start at 22, c: 5
Node 865, start at 43, c: 7
Node 866, start at 908, c: 7
Node 867, start at 7, c: 5
Node 868, start at 593, c: 11
Node 869, start at 303, c: 5
Node 870, start at 232, c: 5
Node 871, start at 438, c: 11
Node 872, start at 393, c: 5
Node 873, start at 731, c: 13
Node 874, start at 537, c: 3
Node 875, start at 989, c: 3
Node 876, start at 754, c: 7
Node 877, start at 56, c: 7
Node 878, start at 85, c: 5
Node 879, start at 144, c: 19
Node 880, start at 679, c: 7
Node 881, start at 597, c: 7
Node 882, start at 504, c: 7
Node 883, start at 521, c: 13
Node 884, start at 128, c: 19
Node 885, start at 431, c: 5
Node 886, start at 824, c: 5
Node 887, start at 482, c: 3
Node 888, start at 2, c: 19
Node 889, start at 410, c: 3
Node 890, start at 4, c: 7
Node 891, start at 707, c: 7
Node 892, start at 671, c: 11
Node 893, start at 678, c: 7
Node 894, start at 366, c: 5
Node 895, start at 437, c: 7
Node 896, start at 284, c: 7
Node 897, start at 649, c: 19
Node 898, start at 15, c: 5
Node 899, start at 325, c: 13
Node 900, start at 320, c: 5
Node 901, start at 210, c: 5
Node 902, start at 821, c: 5
Node 903, start at 152, c: 3
Node 904, start at 154, c: 13
Node 905, start at 28, c: 7
Node 906, start at 584, c: 19
Node 907, start at 445, c: 7
Node 908, start at 111, c: 19
Node 909, start at 857, c: 7
Node 910, start at 439, c: 5
Node 911, start at 897, c: 5
Node 912, start at 506, c: 11
Node 913, start at 418, c: 7
Node 914, start at 87, c: 5
Node 915, start at 878, c: 19
Node 916, start at 648, c: 5
Node 917, start at 532, c: 3
Node 918, start at 981, c: 5
Node 919, start at 196, c: 13
Node 920, start at 268, c: 7
Node 921, start at 852, c: 5
Node 922, start at 297, c: 3
Node 923, start at 937, c: 5
Node 924, start at 37, c: 5
Node 925, start at 133, c: 7
Node 926, start at 908, c: 5
Node 927, start at 832, c: 3
Node 928, start at 457, c: 13
Node 929, start at 614, c: 5
Node 930, start at 596, c: 7
Node 931, start at 387, c: 5
